June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
333	154.9076389	6	3	21	47	105.31861	267.4825	1275.391	1.62	3771.099	5336.62	945.707
CGR1	154.9083333	6	3	21	48	179.99667	272.77417	131.885	1.62	4999.992	5131.73	1008.004
111	154.9166667	6	3	22	0	287.89444	92.64472	1066.003	1.62	3986.64	5327.2	952.509
333	154.9166667	6	3	22	0	285.31056	92.52528	1275.368	1.62	3771.08	5336.436	945.536
CGR1	154.9173611	6	3	22	1	359.99833	87.24111	131.885	1.62	4999.996	5131.732	1007.969
111	154.9173611	6	3	22	1	107.89944	267.36583	1066	1.62	3986.662	5327.291	952.708
333	154.9180556	6	3	22	2	105.31417	267.49083	1275.367	1.62	3771.087	5336.516	945.899
CGR1	154.9180556	6	3	22	2	179.99472	272.77528	131.885	1.62	4999.988	5131.73	1008.007
111	154.9270833	6	3	22	15	287.89083	92.64833	1065.978	1.62	3986.645	5327.126	952.443
333	154.9270833	6	3	22	15	285.30722	92.5325	1275.35	1.62	3771.086	5336.361	945.377
CGR1	154.9277778	6	3	22	16	0.00111	87.23833	131.885	1.62	5000.003	5131.731	1007.975
111	154.9277778	6	3	22	16	107.89472	267.3675	1065.977	1.62	3986.655	5327.197	952.737
333	154.9284722	6	3	22	17	105.31056	267.485	1275.35	1.62	3771.088	5336.435	945.767
CGR1	154.9284722	6	3	22	17	180	272.77694	131.884	1.62	5000	5131.729	1008.011
111	154.9375	6	3	22	30	287.88417	92.64667	1065.959	1.62	3986.623	5327.001	952.477
333	154.9375	6	3	22	30	285.30333	92.52944	1275.331	1.62	3771.079	5336.275	945.445
CGR1	154.9381944	6	3	22	31	359.99889	87.23833	131.887	1.62	4999.998	5131.733	1007.976
111	154.9381944	6	3	22	31	107.88528	267.36694	1065.957	1.62	3986.622	5327.027	952.727
333	154.9388889	6	3	22	32	105.3025	267.48222	1275.333	1.62	3771.06	5336.258	945.705
CGR1	154.9388889	6	3	22	32	179.99861	272.77333	131.884	1.62	4999.997	5131.73	1008.002
111	154.9479167	6	3	22	45	287.87833	92.64556	1065.936	1.62	3986.611	5326.891	952.495
333	154.9479167	6	3	22	45	285.29778	92.52694	1275.309	1.62	3771.065	5336.15	945.502
CGR1	154.9486111	6	3	22	46	0	87.23917	131.885	1.62	5000	5131.732	1007.974
111	154.9486111	6	3	22	46	107.88056	267.36528	1065.937	1.62	3986.615	5326.938	952.7
333	154.9493056	6	3	22	47	105.29889	267.48167	1275.316	1.62	3771.056	5336.177	945.696
CGR1	154.9493056	6	3	22	47	179.99833	272.77611	131.885	1.62	4999.996	5131.73	1008.009
111	154.9583333	6	3	23	0	287.87361	92.64556	1065.914	1.62	3986.606	5326.803	952.496
333	154.9583333	6	3	23	0	285.29194	92.52444	1275.293	1.62	3771.042	5336.018	945.558
CGR1	154.9590278	6	3	23	1	359.99889	87.23639	131.885	1.62	4999.997	5131.732	1007.98
111	154.9590278	6	3	23	1	107.87333	267.3625	1065.911	1.62	3986.6	5326.797	952.649
