---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 10, 4, 15,21.53350,94.33460,23.0160,5008.4240,5021.3480,999.9600
111,5, 10, 4, 16,178.88840,92.20210,1969.9720,5038.1890,3031.8320,926.2700
111,5, 10, 4, 16,358.89110,267.79270,1969.9710,5038.0960,3031.8380,926.0900
REF,5, 10, 4, 30,201.53320,265.66240,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 4, 30,21.53270,94.33420,23.0160,5008.4230,5021.3480,999.9610
111,5, 10, 4, 31,178.88620,92.20430,1969.8150,5038.2630,3031.9930,926.1990
111,5, 10, 4, 31,358.89110,267.79080,1969.8100,5038.0940,3032.0010,926.0310
REF,5, 10, 4, 45,201.53350,265.66210,23.0150,5008.4240,5021.3480,999.9590
REF,5, 10, 4, 45,21.53170,94.33400,23.0160,5008.4230,5021.3480,999.9610
111,5, 10, 4, 46,178.88570,92.20550,1969.6500,5038.2770,3032.1590,926.1640
111,5, 10, 4, 46,358.88960,267.78930,1969.6460,5038.1410,3032.1680,925.9860
REF,5, 10, 5, 0,201.53340,265.66230,23.0150,5008.4240,5021.3480,999.9590
REF,5, 10, 5, 0,21.53260,94.33400,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 5, 1,178.88390,92.20590,1969.4910,5038.3340,3032.3200,926.1560
111,5, 10, 5, 1,358.88790,267.78950,1969.4870,5038.1980,3032.3280,925.9990
REF,5, 10, 5, 15,201.53280,265.66220,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 5, 15,21.53320,94.33460,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 5, 16,178.88330,92.20470,1969.3340,5038.3530,3032.4750,926.2040
111,5, 10, 5, 16,358.88640,267.79120,1969.3280,5038.2470,3032.4850,926.0650
REF,5, 10, 5, 30,201.53230,265.66190,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 5, 30,21.53310,94.33550,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 5, 31,178.88040,92.20230,1969.1780,5038.4480,3032.6300,926.2940
111,5, 10, 5, 31,358.88540,267.79240,1969.1670,5038.2770,3032.6450,926.1120
REF,5, 10, 5, 45,201.53340,265.66210,23.0150,5008.4240,5021.3480,999.9590
REF,5, 10, 5, 45,21.53270,94.33410,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 5, 46,178.88130,92.20550,1969.0220,5038.4160,3032.7900,926.1890
111,5, 10, 5, 46,358.88400,267.78930,1969.0150,5038.3210,3032.8010,926.0090
REF,5, 10, 6, 0,201.53250,265.66130,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 6, 0,21.53240,94.33400,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 6, 1,178.87940,92.20590,1968.8580,5038.4780,3032.9550,926.1800
111,5, 10, 6, 1,358.88290,267.78960,1968.8560,5038.3580,3032.9610,926.0280
REF,5, 10, 6, 15,201.53260,265.66020,23.0150,5008.4230,5021.3480,999.9580
REF,5, 10, 6, 15,21.53240,94.33420,23.0160,5008.4230,5021.3480,999.9610
111,5, 10, 6, 16,178.87880,92.20560,1968.7070,5038.4950,3033.1060,926.1970
111,5, 10, 6, 16,358.88250,267.78980,1968.7040,5038.3680,3033.1130,926.0390
REF,5, 10, 6, 30,201.53290,265.66090,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 6, 30,21.53210,94.33410,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 6, 31,178.87710,92.20520,1968.5500,5038.5500,3033.2640,926.2170
111,5, 10, 6, 31,358.88130,267.79000,1968.5510,5038.4050,3033.2660,926.0530
REF,5, 10, 6, 45,201.53240,265.66180,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 6, 45,21.53360,94.33480,23.0150,5008.4240,5021.3480,999.9600
111,5, 10, 6, 46,178.87680,92.20450,1968.3980,5038.5560,3033.4150,926.2480
111,5, 10, 6, 46,358.88090,267.79140,1968.3920,5038.4170,3033.4240,926.1050
REF,5, 10, 7, 0,201.53230,265.66120,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 7, 0,21.53030,94.33500,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 7, 1,178.87580,92.20310,1968.2410,5038.5890,3033.5700,926.2990
111,5, 10, 7, 1,358.87960,267.79110,1968.2410,5038.4590,3033.5760,926.1030
REF,5, 10, 7, 15,201.53190,265.66190,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 7, 15,21.53250,94.33490,23.0150,5008.4230,5021.3480,999.9600
111,5, 10, 7, 16,178.87480,92.20190,1968.0890,5038.6210,3033.7220,926.3480
111,5, 10, 7, 16,358.87930,267.79300,1968.0870,5038.4650,3033.7270,926.1730
