---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
111,5, 10, 23, 46,178.79900,92.20850,1957.5260,5040.9980,3044.3360,926.5270
111,5, 10, 23, 46,358.80220,267.78860,1957.5240,5040.8890,3044.3400,926.4280
REF,5, 11, 0, 0,201.52850,265.66110,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 0, 0,21.52750,94.33450,23.0150,5008.4210,5021.3490,999.9610
111,5, 11, 0, 1,178.79870,92.20650,1957.3610,5041.0070,3044.4980,926.6010
111,5, 11, 0, 1,358.80310,267.78750,1957.3540,5040.8570,3044.5100,926.3950
REF,5, 11, 0, 15,201.52970,265.66210,23.0160,5008.4220,5021.3480,999.9590
REF,5, 11, 0, 15,21.52840,94.33400,23.0160,5008.4220,5021.3490,999.9610
111,5, 11, 0, 16,178.80000,92.20810,1957.1970,5040.9570,3044.6630,926.5520
111,5, 11, 0, 16,358.80400,267.78810,1957.1920,5040.8220,3044.6710,926.4230
REF,5, 11, 0, 30,201.53080,265.66000,23.0150,5008.4220,5021.3480,999.9580
REF,5, 11, 0, 30,21.52910,94.33300,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 0, 31,178.79950,92.20280,1957.0350,5040.9730,3044.8180,926.7380
111,5, 11, 0, 31,358.80280,267.78780,1957.0340,5040.8590,3044.8300,926.4180
REF,5, 11, 0, 45,201.53260,265.66120,23.0160,5008.4230,5021.3480,999.9590
REF,5, 11, 0, 45,21.52990,94.33390,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 0, 46,178.80090,92.20700,1956.8760,5040.9220,3044.9820,926.6000
111,5, 11, 0, 46,358.80440,267.78540,1956.8710,5040.8020,3044.9950,926.3410
REF,5, 11, 1, 0,201.53220,265.66140,23.0160,5008.4230,5021.3480,999.9590
REF,5, 11, 1, 0,21.53070,94.33510,23.0160,5008.4230,5021.3480,999.9600
111,5, 11, 1, 1,178.79940,92.20790,1956.7160,5040.9670,3045.1440,926.5790
111,5, 11, 1, 1,358.80470,267.78640,1956.7110,5040.7870,3045.1530,926.3830
REF,5, 11, 1, 15,201.53180,265.66140,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 1, 15,21.53120,94.33430,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 1, 16,178.79910,92.21100,1956.5510,5040.9770,3045.3130,926.4770
111,5, 11, 1, 16,358.80230,267.78470,1956.5490,5040.8660,3045.3190,926.3320
