id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0136,2004-07-11 15:00:17,502187.78,6782074.663,340.68,61.17446406,-146.9614811,344.833
ICE_0137,2004-07-11 18:00:17,502187.412,6782074.411,340.664,61.1744618,-146.961488,344.818
ICE_0138,2004-07-11 21:00:17,502187.016,6782074.138,340.66,61.17445935,-146.9614953,344.814
ICE_0139,2004-07-12 00:00:17,502186.627,6782073.868,340.633,61.17445692,-146.9615026,344.786
ICE_0140,2004-07-12 03:00:17,502186.267,6782073.613,340.618,61.17445464,-146.9615093,344.771
ICE_0141,2004-07-12 06:00:17,502185.939,6782073.375,340.591,61.17445251,-146.9615153,344.744
ICE_0142,2004-07-12 09:00:17,502185.633,6782073.147,340.571,61.17445046,-146.961521,344.724
ICE_0143,2004-07-12 12:00:17,502185.33,6782072.935,340.546,61.17444856,-146.9615267,344.7
ICE_0144,2004-07-12 15:00:17,502185.013,6782072.706,340.53,61.1744465,-146.9615326,344.683
ICE_0145,2004-07-12 18:00:17,502184.649,6782072.463,340.517,61.17444432,-146.9615394,344.671
ICE_0146,2004-07-12 21:00:17,502184.248,6782072.188,340.522,61.17444186,-146.9615468,344.676
ICE_0147,2004-07-13 00:00:17,502183.857,6782071.932,340.495,61.17443956,-146.9615541,344.649
ICE_0148,2004-07-13 03:00:17,502183.499,6782071.679,340.474,61.17443729,-146.9615607,344.627
ICE_0149,2004-07-13 06:00:17,502183.167,6782071.454,340.448,61.17443527,-146.9615669,344.602
ICE_0150,2004-07-13 09:00:17,502182.862,6782071.223,340.439,61.1744332,-146.9615726,344.593
ICE_0151,2004-07-13 12:00:17,502182.563,6782071.003,340.395,61.17443123,-146.9615782,344.549
ICE_0152,2004-07-13 15:00:17,502182.238,6782070.782,340.381,61.17442924,-146.9615842,344.535
ICE_0153,2004-07-13 18:00:17,502181.874,6782070.522,340.358,61.17442692,-146.961591,344.512
ICE_0154,2004-07-13 21:00:17,502181.467,6782070.258,340.35,61.17442455,-146.9615985,344.504
ICE_0155,2004-07-14 00:00:17,502181.067,6782069.995,340.33,61.17442218,-146.961606,344.484
ICE_0156,2004-07-14 03:00:17,502180.707,6782069.741,340.323,61.17441991,-146.9616127,344.477
ICE_0157,2004-07-14 06:00:17,502180.374,6782069.52,340.282,61.17441793,-146.9616188,344.435
ICE_0158,2004-07-14 09:00:17,502180.072,6782069.297,340.262,61.17441593,-146.9616245,344.416
ICE_0159,2004-07-14 12:00:17,502179.78,6782069.084,340.243,61.17441401,-146.9616299,344.397
ICE_0160,2004-07-14 15:00:17,502179.465,6782068.858,340.213,61.17441198,-146.9616358,344.367
ICE_0162,2004-07-14 21:00:17,502178.736,6782068.367,340.196,61.17440758,-146.9616493,344.35
ICE_0163,2004-07-15 00:00:17,502178.357,6782068.116,340.176,61.17440533,-146.9616564,344.33
ICE_0164,2004-07-15 03:00:17,502178.009,6782067.871,340.157,61.17440313,-146.9616628,344.311
ICE_0165,2004-07-15 06:00:17,502177.689,6782067.645,340.13,61.1744011,-146.9616688,344.284
ICE_0166,2004-07-15 09:00:17,502177.387,6782067.43,340.13,61.17439918,-146.9616744,344.284
ICE_0167,2004-07-15 12:00:17,502177.083,6782067.198,340.083,61.1743971,-146.9616801,344.237
ICE_0168,2004-07-15 15:00:17,502176.769,6782066.986,340.067,61.1743952,-146.9616859,344.221
ICE_0169,2004-07-15 18:00:17,502176.416,6782066.749,340.061,61.17439307,-146.9616925,344.215
ICE_0170,2004-07-15 21:00:17,502176.022,6782066.486,340.036,61.17439071,-146.9616998,344.189
ICE_0171,2004-07-16 00:00:17,502175.617,6782066.242,340.024,61.17438852,-146.9617073,344.178
ICE_0172,2004-07-16 03:00:17,502175.271,6782065.989,340.033,61.17438626,-146.9617138,344.187
ICE_0173,2004-07-16 06:00:17,502174.949,6782065.762,340.006,61.17438422,-146.9617198,344.16
