marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
555	9	14	20	10	290.09861	92.57167	1655.941	3446.45	5568.475	927.509
R1	9	14	20	10	359.98889	87.25389	131.905	4999.975	5131.754	1007.941
555	9	14	20	11	110.10167	267.43861	1655.939	3446.471	5568.565	927.802
R1	9	14	20	11	179.99167	272.76	131.906	4999.981	5131.752	1007.973
555	9	14	20	20	290.09694	92.57194	1655.93	3446.446	5568.429	927.503
R1	9	14	20	20	359.98889	87.25306	131.905	4999.974	5131.754	1007.943
555	9	14	20	21	110.09833	267.44	1655.928	3446.448	5568.473	927.842
R1	9	14	20	21	179.99194	272.75944	131.905	4999.981	5131.752	1007.972
555	9	14	20	30	290.09417	92.57167	1655.919	3446.427	5568.345	927.504
R1	9	14	20	30	359.98917	87.25389	131.905	4999.975	5131.754	1007.941
555	9	14	20	31	110.09694	267.44	1655.921	3446.437	5568.425	927.841
R1	9	14	20	31	179.99222	272.76028	131.906	4999.982	5131.753	1007.973
555	9	14	20	40	290.09222	92.57222	1655.912	3446.416	5568.295	927.49
R1	9	14	20	40	359.98944	87.25194	131.906	4999.976	5131.754	1007.945
555	9	14	20	41	110.09472	267.44056	1655.908	3446.429	5568.365	927.858
R1	9	14	20	41	179.99167	272.76028	131.906	4999.981	5131.752	1007.974
R1	9	14	20	50	359.99139	87.2525	131.905	4999.981	5131.754	1007.944
555	9	14	20	51	110.09472	267.43889	1655.901	3446.438	5568.362	927.812
R1	9	14	20	51	179.99222	272.76	131.905	4999.982	5131.752	1007.973
555	9	14	21	0	290.08861	92.57472	1655.892	3446.402	5568.19	927.419
R1	9	14	21	0	359.98833	87.25306	131.905	4999.973	5131.754	1007.943
555	9	14	21	1	110.09083	267.43944	1655.89	3446.407	5568.251	927.831
R1	9	14	21	1	179.99111	272.76028	131.906	4999.979	5131.752	1007.974
555	9	14	21	10	290.08556	92.57278	1655.883	3446.377	5568.101	927.476
R1	9	14	21	10	359.99083	87.25222	131.906	4999.979	5131.754	1007.944
