id,t,x,y,z
4,171.0732639,496133.537857158,6776177.65283829,-50.8110229
4,171.0836806,496133.512169602,6776177.50118619,-50.8150556000001
4,171.1045139,496133.474907972,6776177.24692183,-50.8256886
4,171.1149306,496133.458319727,6776177.12973141,-50.8068896
4,171.1253472,496133.434377528,6776176.98041308,-50.8286761000001
4,171.1357639,496133.411344904,6776176.84663161,-50.8200172000001
4,171.1461806,496133.398854176,6776176.73349256,-50.8444806
4,171.1565972,496133.379170703,6776176.59862909,-50.8458336
4,171.1670139,496133.359528685,6776176.45858045,-50.8394941
4,171.1774306,496133.334425862,6776176.31216529,-50.8282677
4,171.1878472,496133.315261997,6776176.17187894,-50.8423586
4,171.1982639,496133.299944522,6776176.05182595,-50.8540083
4,171.2086806,496133.281342313,6776175.9139586,-50.8629738
4,171.2190972,496133.25815791,6776175.77241062,-50.8567801
4,171.2399306,496133.224796512,6776175.50897725,-50.8594972
4,171.2503472,496133.195220052,6776175.33750794,-50.8760798
4,171.2607639,496133.180495081,6776175.21451882,-50.8850922
4,171.2711806,496133.159473552,6776175.07488911,-50.8865349
4,171.2815972,496133.140685074,6776174.93722643,-50.8879045
4,171.2920139,496133.125168736,6776174.81441613,-50.8689888
4,171.3024306,496133.110509986,6776174.68338072,-50.8982365000001
4,171.3128472,496133.0931088,6776174.5639712,-50.8717585000001
4,171.3232639,496133.072070963,6776174.4164265,-50.9316803
4,171.3336806,496133.052004258,6776174.28457442,-50.8796505
4,171.3440972,496133.027059432,6776174.13284567,-50.8989789
4,171.3545139,496133.016534792,6776174.0219646,-50.8901028
4,171.3649306,496133.0003328,6776173.89673575,-50.8915447000001
4,171.378125,496132.972988502,6776173.72195243,-50.9055058
4,171.3822917,496132.971740866,6776173.69046169,-50.905092
4,171.3892361,496132.952983995,6776173.5848431,-50.9068557000001
4,171.3961806,496132.952626959,6776173.53171004,-50.9060767
4,171.403125,496132.936991546,6776173.43572034,-50.9181086
4,171.4100694,496132.918572636,6776173.32981054,-50.9174696
4,171.4170139,496132.911333987,6776173.25247294,-50.9242574
4,171.4309028,496132.883830748,6776173.0645651,-50.9023708
4,171.4378472,496132.883320346,6776173.00881357,-50.8836848
4,171.4447917,496132.868710992,6776172.91787124,-50.8932708
4,171.4517361,496132.8610257,6776172.8350422,-50.925391
4,171.4586806,496132.848343159,6776172.74348497,-50.9144361
4,171.4725694,496132.829170757,6776172.56614141,-50.9152435
4,171.4795139,496132.828607047,6776172.50247502,-50.9449348000001
4,171.4864583,496132.818163573,6776172.4128898,-50.9236408
4,171.5003472,496132.792836966,6776172.20558305,-50.9089818
4,171.5072917,496132.785548167,6776172.11757856,-50.8978335
4,171.5142361,496132.785297565,6776172.05114603,-50.9299423
4,171.5211806,496132.767826519,6776171.93177575,-50.9060598
4,171.528125,496132.768689845,6776171.85972921,-50.9126447
4,171.5350694,496132.758449479,6776171.76206521,-50.9141393
4,171.5420139,496132.749529603,6776171.67460155,-50.9081179
4,171.5489583,496132.730699348,6776171.5504221,-50.8766246
4,171.5559028,496132.740107849,6776171.5102832,-50.8908953
4,171.5697917,496132.731531915,6776171.3428378,-50.8888016
4,171.5767361,496132.720936476,6776171.23201298,-50.8826048
4,171.5836806,496132.71188916,6776171.13380171,-50.8891704
4,171.6045139,496132.686105042,6776170.84191406,-50.8655955
4,171.6114583,496132.690969087,6776170.7846003,-50.8670843
4,171.6184028,496132.686218841,6776170.69842374,-50.8609858999999
4,171.6253472,496132.66268941,6776170.55714799,-50.8422061
4,171.6322917,496132.660884723,6776170.48342497,-50.8360656
4,171.6461806,496132.65127126,6776170.31639229,-50.8594141
4,171.653125,496132.642994388,6776170.2236163,-50.8762884
4,171.6600694,496132.621549974,6776170.09240716,-50.8753390000001
4,171.6670139,496132.621791912,6776170.02053283,-50.8971662
4,171.6739583,496132.612487137,6776169.93058153,-50.896265
4,171.6809028,496132.595558154,6776169.82968144,-50.8243741
4,171.6878472,496132.581011219,6776169.71760675,-50.8793643
4,171.6947917,496132.577014013,6776169.64709759,-50.8708109
4,171.7017361,496132.56625108,6776169.54424343,-50.8697883999999
4,171.715625,496132.552097384,6776169.36037788,-50.8753285
4,171.7225694,496132.55081412,6776169.28117996,-50.942918
4,171.7295139,496132.525805279,6776169.1403515,-50.8987609
4,171.7364583,496132.523694889,6776169.06419556,-50.9307997
4,171.7503472,496132.502093796,6776168.87184459,-50.9239212
4,171.7711806,496132.474225405,6776168.58883145,-50.9668296
4,171.7850694,496132.444093217,6776168.37018683,-50.9751664
4,171.7920139,496132.443201341,6776168.29892556,-51.0097819
4,171.7989583,496132.433422849,6776168.20374192,-51.0291622
4,171.8059028,496132.430430237,6776168.12780514,-51.0205772
4,171.8128472,496132.412781677,6776168.00074245,-51.0423256
4,171.8197917,496132.406104766,6776167.91270577,-51.0261332
4,171.8267361,496132.392211832,6776167.80566277,-51.0480941
4,171.8336806,496132.369255959,6776167.67237102,-51.0243011
4,171.840625,496132.365096602,6776167.59930343,-51.0463101
4,171.8475694,496132.35153602,6776167.49235825,-51.0632204
4,171.8545139,496132.347140609,6776167.41144745,-51.0672671
4,171.8614583,496132.339219272,6776167.31322815,-51.1195726
4,171.8684028,496132.333463096,6776167.24077328,-51.1060424999999
4,171.8753472,496132.315946116,6776167.13232623,-51.0849308000001
4,171.8822917,496132.313424542,6776167.0614318,-51.1144939
4,171.8892361,496132.292401626,6776166.94350223,-51.1035712
4,171.903125,496132.276799392,6776166.77346895,-51.1094824
4,171.9170139,496132.254597377,6776166.59484121,-51.0798678
4,171.9239583,496132.251880983,6776166.51085639,-51.1753512
4,171.9309028,496132.242633381,6776166.41843687,-51.1642569000001
4,171.9378472,496132.231827523,6776166.33433698,-51.1533588999999
4,171.9447917,496132.221376838,6776166.23686374,-51.1905887
