marker,t,x,y,z_G,z_Q
9,1984-09-03T21:59:31Z,497765.650496674,6767056.96800419,150.095181443261,NA
9,1984-09-04T00:59:31Z,497765.649041042,6767056.27744391,150.060826006821,NA
9,1984-09-04T03:59:31Z,497765.647614768,6767055.60081225,150.026201822571,NA
9,1984-09-04T16:25:26Z,497765.641925164,6767052.90163469,149.880592086439,NA
10,1984-08-11T23:43:12Z,497688.001185518,6766178.62269472,139.906655377235,140.638805316432
10,1984-08-12T03:56:38Z,497687.775214382,6766177.06566017,139.782462350337,NA
10,1984-08-12T15:30:43Z,497687.155647535,6766172.79658843,139.446307361396,NA
10,1984-08-12T23:59:02Z,497686.697892267,6766169.6424654,139.209397427388,139.910708184791
10,1984-08-13T05:18:43Z,497686.40806248,6766167.6466257,139.060477989137,NA
10,1984-08-13T17:11:31Z,497685.759509659,6766163.18053037,138.7160036012,NA
10,1984-08-13T20:47:31Z,497685.563309791,6766161.82944949,138.607923838892,139.290421643209
10,1984-08-14T04:42:43Z,497685.149755496,6766158.87603767,138.36822252269,NA
10,1984-08-14T17:11:31Z,497684.51580383,6766154.34865065,137.998993878444,NA
10,1984-08-14T20:31:40Z,497684.350151288,6766153.1656375,137.905555980121,138.628313117867
10,1984-08-14T23:40:19Z,497684.203873395,6766152.05223758,137.820586785529,NA
10,1984-08-15T02:57:36Z,497684.051105169,6766150.88943625,137.733075999794,NA
10,1984-08-15T05:37:26Z,497683.927214637,6766149.94643862,137.662088465856,NA
10,1984-08-15T16:52:48Z,497683.40533192,6766145.97410788,137.35257186317,138.098618901365
10,1984-08-15T20:24:28Z,497683.255547657,6766144.7301196,137.253255186043,NA
10,1984-08-15T23:17:16Z,497683.133591411,6766143.71724858,137.171258603125,NA
10,1984-08-16T02:12:57Z,497683.009520446,6766142.68681439,137.087378115297,NA
10,1984-08-16T05:05:45Z,497682.887188546,6766141.67082348,137.004635444678,NA
10,1984-08-16T17:56:09Z,497682.339512732,6766137.12226626,136.636598083337,NA
10,1984-08-16T20:51:50Z,497682.214504771,6766136.08405011,136.553634882774,137.387337839545
10,1984-08-16T23:11:31Z,497682.123046666,6766135.25524682,136.488535653288,NA
10,1984-08-17T02:14:24Z,497682.00346618,6766134.17159544,136.403791070386,NA
10,1984-08-17T05:14:24Z,497681.886101114,6766133.10802043,136.320881295288,NA
10,1984-08-17T17:08:38Z,497681.42188485,6766128.90124208,135.996094505301,136.883017471611
10,1984-08-17T22:09:36Z,497681.180777341,6766127.12769542,135.858514467452,NA
10,1984-08-17T23:05:45Z,497681.135410614,6766126.79398533,135.832943964855,NA
10,1984-08-18T02:01:26Z,497680.991815003,6766125.73771995,135.753259636945,NA
10,1984-08-18T19:38:24Z,497680.018325793,6766118.57689551,135.286618572034,NA
10,1984-08-20T17:15:50Z,497677.091792864,6766097.04980687,133.964289217989,NA
10,1984-08-20T23:31:40Z,497676.706034521,6766094.21223277,133.752893994832,NA
10,1984-08-21T02:20:09Z,497676.540167859,6766092.99214524,133.660709529005,134.278177392019
10,1984-08-21T04:03:50Z,497676.440754742,6766092.25818909,133.60571726021,NA
10,1984-08-21T16:06:43Z,497675.794956465,6766087.49033115,133.250510921676,NA
10,1984-08-21T19:35:31Z,497675.623228865,6766086.22248509,133.153949215342,133.763634779952
10,1984-08-21T22:35:31Z,497675.469991514,6766085.16688201,133.071111371402,NA
