marker,t,x,y
11,1984-08-27T09:44:58Z,497596.443873644,6765112.71918044
11,1984-08-27T09:59:57Z,497596.430760192,6765112.63447512
11,1984-08-27T10:15:04Z,497596.417526358,6765112.54899221
11,1984-08-27T10:30:02Z,497596.404411994,6765112.46428101
11,1984-08-27T10:45:01Z,497596.391278938,6765112.37944907
11,1984-08-27T11:00:00Z,497596.378115065,6765112.29441807
11,1984-08-27T11:14:58Z,497596.364908256,6765112.20910971
11,1984-08-27T11:29:57Z,497596.351647508,6765112.12345296
11,1984-08-27T11:45:04Z,497596.338197918,6765112.03657639
11,1984-08-27T12:00:02Z,497596.324810244,6765111.95009975
11,1984-08-27T12:15:01Z,497596.311351309,6765111.86316282
11,1984-08-27T12:30:00Z,497596.297815731,6765111.77573082
11,1984-08-27T12:44:58Z,497596.284198128,6765111.68776899
11,1984-08-27T12:59:57Z,497596.270493116,6765111.59924254
11,1984-08-27T13:15:04Z,497596.256562176,6765111.50925672
11,1984-08-27T13:45:01Z,497596.228664675,6765111.329055
11,1984-08-27T14:00:00Z,497596.214555127,6765111.2379155
11,1984-08-27T14:14:58Z,497596.200334738,6765111.14606
11,1984-08-27T14:29:57Z,497596.186015772,6765111.05356778
11,1984-08-27T15:00:02Z,497596.157005939,6765110.86618104
11,1984-08-27T15:15:01Z,497596.142485653,6765110.77238839
11,1984-08-27T15:30:00Z,497596.127930157,6765110.6783683
11,1984-08-27T15:44:58Z,497596.113355249,6765110.58422283
11,1984-08-27T15:59:57Z,497596.098776736,6765110.49005407
11,1984-08-27T16:15:04Z,497596.084070468,6765110.39506009
11,1984-08-27T16:30:02Z,497596.069532496,6765110.3011532
11,1984-08-27T16:45:01Z,497596.055038479,6765110.20753023
11,1984-08-27T17:00:00Z,497596.040601815,6765110.11427774
11,1984-08-27T17:14:58Z,497596.026226286,6765110.02142014
11,1984-08-27T17:29:57Z,497596.01191327,6765109.92896634
11,1984-08-27T17:45:04Z,497595.997527447,6765109.83604225
11,1984-08-27T18:15:01Z,497595.969227656,6765109.65324196
11,1984-08-27T18:30:00Z,497595.955179123,6765109.56249657
11,1984-08-27T18:44:58Z,497595.941200002,6765109.47219954
11,1984-08-27T18:59:57Z,497595.927291672,6765109.38235977
11,1984-08-27T19:30:02Z,497595.899560915,6765109.20323513
11,1984-08-27T20:00:00Z,497595.872263285,6765109.02690824
11,1984-08-27T20:29:57Z,497595.84525699,6765108.8524632
11,1984-08-27T21:00:02Z,497595.81832741,6765108.67851368
11,1984-08-27T21:59:57Z,497595.764918873,6765108.33352544
11,1984-08-27T22:30:02Z,497595.737970234,6765108.15945282
11,1984-08-27T23:00:00Z,497595.710932313,6765107.9848035
11,1984-08-27T23:14:58Z,497595.697298674,6765107.89673807
11,1984-08-27T23:29:57Z,497595.683570994,6765107.8080652
11,1984-08-27T23:45:04Z,497595.66960249,6765107.71783675
11,1984-08-28T00:00:02Z,497595.655645932,6765107.62768546
11,1984-08-28T00:15:01Z,497595.641555632,6765107.53667027
11,1984-08-28T00:30:00Z,497595.627318398,6765107.44470598
11,1984-08-28T00:59:57Z,497595.59839126,6765107.2578534
11,1984-08-28T01:15:04Z,497595.583589693,6765107.16224385
11,1984-08-28T01:45:01Z,497595.553962297,6765106.97086801
11,1984-08-28T02:00:00Z,497595.539031039,6765106.87442071
11,1984-08-28T02:14:58Z,497595.524044714,6765106.77761773
11,1984-08-28T02:29:57Z,497595.50902081,6765106.680572
11,1984-08-28T02:45:04Z,497595.493832113,6765106.5824618
11,1984-08-28T03:00:02Z,497595.478785554,6765106.48526975
11,1984-08-28T03:15:01Z,497595.463754035,6765106.38817482
11,1984-08-28T03:30:00Z,497595.448755034,6765106.29128995
11,1984-08-28T03:44:58Z,497595.433804032,6765106.19471513
11,1984-08-28T03:59:57Z,497595.418908484,6765106.09849851
11,1984-08-28T04:15:04Z,497595.403931514,6765106.00175595
11,1984-08-28T04:30:02Z,497595.389163891,6765105.90636565
11,1984-08-28T05:00:00Z,497595.35984967,6765105.71701274
11,1984-08-28T05:14:58Z,497595.345313972,6765105.62312054
11,1984-08-28T05:29:57Z,497595.330866483,6765105.52979813
11,1984-08-28T05:45:04Z,497595.316375111,6765105.43619224
11,1984-08-28T06:00:02Z,497595.302121372,6765105.34412134
11,1984-08-28T06:15:01Z,497595.287972249,6765105.25272619
11,1984-08-28T06:30:00Z,497595.273931906,6765105.16203369
11,1984-08-28T06:44:58Z,497595.259999372,6765105.07203758
11,1984-08-28T06:59:57Z,497595.24617239,6765104.98272329
11,1984-08-28T07:15:04Z,497595.232317245,6765104.89322706
11,1984-08-28T07:30:02Z,497595.218695567,6765104.8052389
11,1984-08-28T07:45:01Z,497595.205172654,6765104.71788871
11,1984-08-28T08:00:00Z,497595.191746251,6765104.63116192
11,1984-08-28T08:14:58Z,497595.178414104,6765104.54504395
11,1984-08-28T08:29:57Z,497595.165173954,6765104.45952025
11,1984-08-28T08:45:04Z,497595.15189753,6765104.37376223
11,1984-08-28T09:00:02Z,497595.138835441,6765104.2893887
11,1984-08-28T09:15:01Z,497595.125856877,6765104.20555468
11,1984-08-28T09:30:00Z,497595.112951142,6765104.12219111
11,1984-08-28T09:44:58Z,497595.100105863,6765104.03921803
11,1984-08-28T09:59:57Z,497595.087308657,6765103.95655548
11,1984-08-28T10:15:04Z,497595.074424573,6765103.87333176
11,1984-08-28T10:30:02Z,497595.061686545,6765103.79105146
11,1984-08-28T10:45:01Z,497595.048959334,6765103.70884105
11,1984-08-28T11:00:00Z,497595.036230564,6765103.62662055
11,1984-08-28T11:14:58Z,497595.023487855,6765103.54431002
11,1984-08-28T11:29:57Z,497595.010718826,6765103.46182948
11,1984-08-28T11:45:04Z,497594.997788462,6765103.37830682
11,1984-08-28T12:00:02Z,497594.984934223,6765103.29527587
11,1984-08-28T12:15:01Z,497594.972025112,6765103.21189048
11,1984-08-28T12:30:00Z,497594.959053082,6765103.12809867
11,1984-08-28T12:44:58Z,497594.946010085,6765103.04384845
11,1984-08-28T12:59:57Z,497594.93288807,6765102.95908784
11,1984-08-28T13:15:04Z,497594.919551534,6765102.87294153
11,1984-08-28T13:30:02Z,497594.906246391,6765102.786998
11,1984-08-28T13:45:01Z,497594.89283801,6765102.70038761
11,1984-08-28T14:00:00Z,497594.879318342,6765102.61305839
11,1984-08-28T14:14:58Z,497594.865682904,6765102.52498134
11,1984-08-28T14:29:57Z,497594.851941465,6765102.43621959
