Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	23	23	0	174.9583333	285.24861	92.98861	1037.636	4000.249	5272.539	947.592
CGR1	6	23	23	1	174.9590278	179.98667	272.7725	131.868	4999.969	5131.714	1008
444	6	23	23	1	174.9590278	105.25194	267.02	1037.628	4000.265	5272.594	947.75
CGR1	6	23	23	10	174.9652778	359.98556	87.23833	131.868	4999.967	5131.715	1007.975
444	6	23	23	10	174.9652778	285.24556	92.9875	1037.62	4000.25	5272.482	947.614
CGR1	6	23	23	11	174.9659722	179.9875	272.77028	131.868	4999.971	5131.714	1007.995
444	6	23	23	11	174.9659722	105.24806	267.01944	1037.616	4000.258	5272.522	947.739
CGR1	6	23	23	20	174.9722222	359.98833	87.23861	131.868	4999.973	5131.715	1007.974
444	6	23	23	20	174.9722222	285.24	92.98861	1037.605	4000.238	5272.379	947.596
CGR1	6	23	23	21	174.9729167	179.98806	272.77028	131.868	4999.973	5131.714	1007.994
444	6	23	23	21	174.9729167	105.24472	267.01972	1037.602	4000.257	5272.465	947.745
CGR1	6	23	23	30	174.9791667	359.98667	87.23917	131.868	4999.969	5131.715	1007.973
444	6	23	23	30	174.9791667	285.23889	92.98972	1037.59	4000.248	5272.353	947.574
CGR1	6	23	23	31	174.9798611	179.985	272.77028	131.868	4999.966	5131.714	1007.995
444	6	23	23	31	174.9798611	105.23917	267.01889	1037.591	4000.241	5272.365	947.73
CGR1	6	23	23	40	174.9861111	359.98667	87.23889	131.868	4999.97	5131.715	1007.974
444	6	23	23	40	174.9861111	285.23306	92.99083	1037.579	4000.231	5272.249	947.559
CGR1	6	23	23	41	174.9868056	179.98833	272.76889	131.869	4999.973	5131.715	1007.991
444	6	23	23	41	174.9868056	105.23417	267.01889	1037.575	4000.232	5272.269	947.734
CGR1	6	23	23	50	174.9930556	359.98639	87.2375	131.868	4999.969	5131.715	1007.977
444	6	23	23	50	174.9930556	285.22833	92.98972	1037.566	4000.221	5272.163	947.576
CGR1	6	23	23	51	174.99375	179.9875	272.76917	131.868	4999.972	5131.714	1007.992
444	6	23	23	51	174.99375	105.23056	267.01639	1037.564	4000.228	5272.204	947.689
CGR1	6	24	0	0	175	359.98639	87.23778	131.868	4999.969	5131.715	1007.976
444	6	24	0	0	175	285.22444	92.99139	1037.55	4000.219	5272.093	947.548
CGR1	6	24	0	1	175.0006944	179.9875	272.76833	131.868	4999.971	5131.714	1007.99
444	6	24	0	1	175.0006944	105.22583	267.01583	1037.552	4000.218	5272.12	947.68
CGR1	6	24	0	10	175.0069444	359.98611	87.23722	131.868	4999.968	5131.715	1007.977
444	6	24	0	10	175.0069444	285.22	92.99056	1037.538	4000.21	5272.015	947.563
CGR1	6	24	0	11	175.0076389	179.98778	272.76944	131.868	4999.972	5131.714	1007.993
444	6	24	0	11	175.0076389	105.22056	267.01583	1037.537	4000.206	5272.022	947.678
CGR1	6	24	0	20	175.0138889	359.98528	87.23667	131.869	4999.966	5131.715	1007.979
444	6	24	0	20	175.0138889	285.21556	92.99083	1037.527	4000.199	5271.93	947.559
