marker	month	day	hour	min	dec date	Hz	 V	 Sd	 East	 North	 Elev
333	6	7	20	46	158.8652778	283.24861	92.51306	1267.873	3767.048	5290.288	946.139
CGR1	6	7	20	46	158.8652778	180.00194	272.77417	131.886	5000.005	5131.731	1008.005
111	6	7	20	46	158.8652778	105.38972	267.29444	1057.924	3981.14	5280.445	951.759
333	6	7	20	47	158.8659722	103.25028	267.49722	1267.873	3767.047	5290.328	946.366
CGR1	6	7	21	0	158.875	0.00528	87.23889	131.886	5000.012	5131.733	1007.975
111	6	7	21	0	158.875	285.38111	92.71472	1057.904	3981.124	5280.282	951.592
333	6	7	21	1	158.8756944	283.24417	92.5125	1267.856	3767.043	5290.192	946.147
CGR1	6	7	21	1	158.8756944	180.00139	272.77417	131.886	5000.003	5131.731	1008.004
111	6	7	21	1	158.8756944	105.38389	267.29306	1057.902	3981.133	5280.333	951.735
333	6	7	21	2	158.8763889	103.24278	267.49611	1267.854	3767.028	5290.162	946.34
CGR1	6	8	7	6	159.2958333	0.00028	87.23528	131.886	5000.001	5131.733	1007.983
111	6	8	7	6	159.2958333	285.12639	92.72639	1057.134	3980.641	5275.547	951.412
333	6	8	7	7	159.2965278	283.03722	92.51056	1267.108	3766.728	5285.565	946.223
CGR1	6	8	7	7	159.2965278	180.00111	272.77361	131.886	5000.003	5131.732	1008.003
111	6	8	7	7	159.2965278	105.12833	267.28417	1057.13	3980.645	5275.586	951.604
333	6	8	7	8	159.2972222	103.03889	267.5	1267.104	3766.73	5285.606	946.458
CGR1	6	8	7	12	159.3	0.00361	87.23917	131.886	5000.009	5131.733	1007.974
111	6	8	7	13	159.3006944	285.12306	92.72611	1057.125	3980.633	5275.486	951.415
333	6	8	7	13	159.3006944	283.03556	92.51167	1267.098	3766.731	5285.529	946.201
CGR1	6	8	7	13	159.3006944	180.00306	272.77361	131.886	5000.007	5131.731	1008.003
111	6	8	7	14	159.3013889	105.12556	267.28444	1057.122	3980.638	5275.532	951.614
333	6	8	7	14	159.3013889	103.03694	267.49972	1267.096	3766.729	5285.563	946.454
CGR1	6	8	7	15	159.3020833	0.00194	87.23694	131.887	5000.005	5131.733	1007.979
111	6	8	7	15	159.3020833	285.12111	92.72722	1057.122	3980.627	5275.45	951.399
333	6	8	7	16	159.3027778	283.03389	92.51056	1267.094	3766.725	5285.493	946.225
CGR1	6	8	7	16	159.3027778	180.00194	272.77417	131.886	5000.004	5131.732	1008.005
111	6	8	7	16	159.3027778	105.12444	267.28361	1057.119	3980.637	5275.513	951.599
333	6	8	7	17	159.3034722	103.03667	267.49833	1267.093	3766.732	5285.555	946.425
222	6	8	7	32	159.3138889	267.28167	92.14	0	0	0	0
222	6	8	7	38	159.3180556	87.28278	267.86972	0	0	0	0
CGR1	6	8	7	39	159.31875	180.00139	272.77417	131.886	5000.004	5131.732	1008.004
CGR1	6	8	7	40	159.3194444	0.00389	87.23583	131.886	5000.009	5131.732	1007.981
