Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	19	0	46	170.0319444	108.64306	267.26556	1048.731	4007.422	5334.87	951.662
CGR1	6	19	1	0	170.0416667	359.99083	87.23778	131.869	4999.979	5131.715	1007.976
444	6	19	1	0	170.0416667	288.63139	92.73556	1048.71	4007.375	5334.664	951.641
CGR1	6	19	1	1	170.0423611	179.99194	272.76944	131.869	4999.981	5131.714	1007.993
CGR1	6	19	1	15	170.0520833	359.99028	87.23722	131.869	4999.978	5131.715	1007.977
CGR1	6	19	1	16	170.0527778	179.99222	272.76972	131.869	4999.982	5131.714	1007.993
CGR1	6	19	1	30	170.0625	359.99	87.23889	131.869	4999.977	5131.716	1007.974
CGR1	6	19	1	31	170.0631944	179.99167	272.77083	131.869	4999.981	5131.715	1007.996
CGR1	6	19	1	45	170.0729167	359.98833	87.2375	131.868	4999.973	5131.715	1007.977
CGR1	6	19	1	46	170.0736111	179.98917	272.76944	131.868	4999.975	5131.714	1007.993
CGR1	6	19	2	0	170.0833333	359.98778	87.2375	131.869	4999.972	5131.715	1007.977
444	6	19	2	0	170.0833333	288.60389	92.74167	1048.625	4007.299	5334.156	951.537
CGR1	6	19	2	1	170.0840278	179.99111	272.76944	131.869	4999.98	5131.714	1007.993
CGR1	6	19	2	15	170.09375	359.98722	87.23833	131.868	4999.971	5131.715	1007.975
444	6	19	2	15	170.09375	288.59417	92.74222	1048.603	4007.263	5333.979	951.528
CGR1	6	19	2	16	170.0944444	179.99056	272.77222	131.868	4999.978	5131.714	1007.999
444	6	19	2	16	170.0944444	108.59667	267.26278	1048.602	4007.276	5334.025	951.618
CGR1	6	19	2	30	170.1041667	359.99	87.23778	131.869	4999.977	5131.715	1007.976
444	6	19	2	30	170.1041667	288.58833	92.74139	1048.579	4007.252	5333.871	951.544
CGR1	6	19	2	31	170.1048611	179.99083	272.76944	131.869	4999.979	5131.714	1007.993
CGR1	6	19	2	45	170.1145833	359.99	87.23778	131.869	4999.977	5131.715	1007.976
CGR1	6	19	2	46	170.1152778	179.99111	272.76778	131.869	4999.979	5131.715	1007.989
CGR1	6	19	3	0	170.125	359.99083	87.23806	131.869	4999.979	5131.715	1007.976
444	6	19	3	0	170.125	288.57306	92.74278	1048.535	4007.206	5333.593	951.519
CGR1	6	19	3	1	170.1256944	179.99194	272.77028	131.869	4999.981	5131.714	1007.995
444	6	19	3	1	170.1256944	108.57639	267.265	1048.534	4007.22	5333.652	951.663
CGR1	6	19	3	15	170.1354167	359.98917	87.235	131.869	4999.975	5131.715	1007.982
444	6	19	3	15	170.1354167	288.56556	92.74111	1048.514	4007.182	5333.458	951.551
CGR1	6	19	3	16	170.1361111	179.99028	272.76778	131.869	4999.978	5131.715	1007.989
CGR1	6	19	7	54	170.3291667	359.98917	87.2375	131.869	4999.975	5131.715	1007.977
CGR1	6	19	7	55	170.3298611	179.99333	272.76944	131.869	4999.985	5131.715	1007.993
