Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	18	2	30	169.1041667	289.28667	92.71361	1050.759	4009.317	5346.674	951.949
CGR1	6	18	2	31	169.1048611	179.985	272.76972	131.869	4999.966	5131.715	1007.994
444	6	18	2	31	169.1048611	109.28917	267.29139	1050.756	4009.331	5346.718	952.041
CGR1	6	18	2	45	169.1145833	359.98528	87.23611	131.87	4999.966	5131.716	1007.98
444	6	18	2	45	169.1145833	289.27917	92.71556	1050.735	4009.297	5346.537	951.914
CGR1	6	18	2	46	169.1152778	179.98528	272.77139	131.869	4999.966	5131.715	1007.997
444	6	18	2	46	169.1152778	109.27972	267.28972	1050.729	4009.3	5346.545	952.011
CGR1	6	18	3	0	169.125	359.98528	87.23694	131.87	4999.966	5131.716	1007.978
444	6	18	3	0	169.125	289.27	92.71472	1050.71	4009.262	5346.367	951.929
CGR1	6	18	3	1	169.1256944	179.98444	272.77167	131.869	4999.964	5131.715	1007.998
444	6	18	3	1	169.1256944	109.27306	267.29194	1050.708	4009.278	5346.423	952.051
CGR1	6	18	3	15	169.1354167	359.98611	87.2375	131.869	4999.968	5131.716	1007.977
444	6	18	3	15	169.1354167	289.26306	92.71833	1050.683	4009.249	5346.239	951.866
CGR1	6	18	3	16	169.1361111	179.98639	272.77306	131.869	4999.969	5131.715	1008.001
444	6	18	3	16	169.1361111	109.26722	267.29111	1050.684	4009.265	5346.312	952.039
CGR1	6	18	3	30	169.1458333	359.98528	87.2375	131.869	4999.966	5131.716	1007.976
444	6	18	3	30	169.1458333	289.25639	92.71861	1050.66	4009.231	5346.116	951.864
CGR1	6	18	3	31	169.1465278	179.98611	272.77139	131.869	4999.968	5131.715	1007.997
444	6	18	3	31	169.1465278	109.25889	267.28861	1050.66	4009.241	5346.163	951.996
CGR1	6	18	3	45	169.15625	359.98472	87.23667	131.869	4999.965	5131.716	1007.979
444	6	18	3	45	169.15625	289.24972	92.71889	1050.633	4009.217	5345.992	951.858
CGR1	6	18	3	46	169.1569444	179.98611	272.77083	131.87	4999.968	5131.715	1007.996
444	6	18	3	46	169.1569444	109.25194	267.29	1050.634	4009.222	5346.033	952.022
CGR1	6	18	4	0	169.1666667	359.98528	87.23556	131.869	4999.966	5131.716	1007.981
444	6	18	4	0	169.1666667	289.24056	92.71944	1050.607	4009.187	5345.827	951.851
CGR1	6	18	4	1	169.1673611	179.98528	272.77333	131.869	4999.966	5131.715	1008.002
444	6	18	4	1	169.1673611	109.24306	267.28722	1050.607	4009.195	5345.868	951.972
CGR1	6	18	4	15	169.1770833	x	x	x	x	x	x
