Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
CGR1	155.211	359.998	87.236	131.884	1.620	4999.996	5131.731	1007.980
CGR1	155.211	179.999	272.774	131.883	1.620	4999.997	5131.729	1008.004
CGR1	155.219	359.998	87.237	131.884	1.620	4999.996	5131.730	1007.979
CGR1	155.219	179.998	272.774	131.884	1.620	4999.996	5131.729	1008.003
CGR1	155.220	359.999	87.236	131.884	1.620	4999.998	5131.730	1007.980
CGR1	155.220	179.999	272.774	131.883	1.620	4999.998	5131.729	1008.003
CGR1	155.322	359.998	87.236	131.884	1.620	4999.996	5131.730	1007.980
CGR1	155.322	179.998	272.774	131.883	1.620	4999.995	5131.729	1008.003
CGR1	155.322	359.999	87.238	131.884	1.620	4999.998	5131.730	1007.978
CGR1	155.324	179.999	272.777	131.884	1.620	4999.999	5131.729	1008.010
CGR1	155.324	359.999	87.237	131.884	1.620	4999.998	5131.730	1007.979
CGR1	155.324	179.999	272.775	131.884	1.620	4999.998	5131.729	1008.007
CGR1	155.325	359.999	87.237	131.884	1.620	4999.999	5131.730	1007.979
CGR1	155.326	180.001	272.777	131.884	1.620	5000.002	5131.729	1008.010
CGR1	155.326	359.998	87.236	131.884	1.620	4999.994	5131.730	1007.981
CGR1	155.327	179.998	272.778	131.884	1.620	4999.995	5131.729	1008.014
CGR1	155.327	359.999	87.238	131.884	1.620	4999.997	5131.730	1007.977
CGR1	155.328	179.999	272.776	131.884	1.620	4999.997	5131.729	1008.009
CGR1	155.328	359.998	87.238	131.884	1.620	4999.996	5131.730	1007.977
CGR1	155.329	179.999	272.775	131.884	1.620	4999.998	5131.729	1008.007
CGR1	155.333	359.996	87.236	131.884	1.620	4999.991	5131.731	1007.982
CGR1	155.334	179.998	272.776	131.883	1.620	4999.995	5131.729	1008.008
CGR1	155.335	359.998	87.237	131.884	1.620	4999.995	5131.731	1007.978
CGR1	155.335	179.998	272.776	131.884	1.620	4999.995	5131.729	1008.008
