
Project:     S1R1 a
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 17:58:58
8222- 14:22:30.00  5/21/2010   503741.057  6784038.057  300.462   0.021   0.031 2
8223- 14:23:00.00  5/21/2010   503741.060  6784038.046  300.478   0.020   0.030 2
8224- 14:23:30.00  5/21/2010   503741.057  6784038.046  300.466   0.021   0.030 2
8225- 14:24:00.00  5/21/2010   503741.052  6784038.044  300.470   0.021   0.031 2
8226- 14:24:30.00  5/21/2010   503741.046  6784038.044  300.460   0.021   0.031 2
8227- 14:25:00.00  5/21/2010   503741.042  6784038.041  300.465   0.021   0.031 2
8228- 14:25:30.00  5/21/2010   503741.038  6784038.040  300.465   0.021   0.031 2
8229- 14:26:00.00  5/21/2010   503741.036  6784038.040  300.467   0.021   0.031 2
8230- 14:26:30.00  5/21/2010   503741.032  6784038.036  300.457   0.021   0.031 2
8231- 14:27:00.00  5/21/2010   503741.026  6784038.037  300.459   0.021   0.031 2
8232- 14:27:30.00  5/21/2010   503741.030  6784038.028  300.486   0.020   0.030 2
8233- 14:28:00.00  5/21/2010   503741.020  6784038.035  300.460   0.020   0.029 2
8234- 14:28:30.00  5/21/2010   503741.023  6784038.028  300.474   0.020   0.030 2
8235- 14:29:00.00  5/21/2010   503741.019  6784038.029  300.473   0.020   0.030 2
8236- 14:29:30.00  5/21/2010   503741.014  6784038.021  300.471   0.021   0.030 2
8237- 14:30:00.00  5/21/2010   503741.015  6784038.019  300.480   0.021   0.029 2
8238- 14:30:30.00  5/21/2010   503741.010  6784038.017  300.480   0.021   0.030 2
8239- 14:31:00.00  5/21/2010   503741.008  6784038.018  300.480   0.021   0.030 2
8240- 14:31:30.00  5/21/2010   503741.007  6784038.011  300.478   0.021   0.030 2
8241- 14:32:00.00  5/21/2010   503741.002  6784038.009  300.481   0.021   0.030 2
8242- 14:32:30.00  5/21/2010   503740.998  6784038.009  300.471   0.021   0.030 2
8243- 14:33:00.00  5/21/2010   503740.995  6784038.006  300.476   0.021   0.030 2
8244- 14:33:30.00  5/21/2010   503740.995  6784038.003  300.475   0.021   0.030 2
8245- 14:34:00.00  5/21/2010   503740.993  6784038.001  300.478   0.021   0.029 2
8246- 14:34:30.00  5/21/2010   503740.991  6784037.998  300.479   0.021   0.029 2
8247- 14:35:00.00  5/21/2010   503740.988  6784037.993  300.474   0.021   0.029 2
8248- 14:35:30.00  5/21/2010   503740.983  6784037.995  300.471   0.021   0.029 2
8249- 14:36:00.00  5/21/2010   503740.982  6784037.992  300.477   0.021   0.029 2
8250- 14:36:30.00  5/21/2010   503740.978  6784037.991  300.474   0.021   0.029 2
8251- 14:37:00.00  5/21/2010   503740.975  6784037.989  300.471   0.021   0.029 2
8252- 14:37:30.00  5/21/2010   503740.977  6784037.980  300.487   0.019   0.027 2
8253- 14:38:00.00  5/21/2010   503740.976  6784037.975  300.483   0.019   0.026 2
8254- 14:38:30.00  5/21/2010   503740.972  6784037.975  300.480   0.018   0.026 2
8255- 14:39:00.00  5/21/2010   503740.967  6784037.973  300.486   0.018   0.027 2
8256- 14:39:30.00  5/21/2010   503740.966  6784037.972  300.487   0.018   0.026 2
8257- 14:40:00.00  5/21/2010   503740.964  6784037.968  300.487   0.018   0.026 2
8258- 14:40:30.00  5/21/2010   503740.963  6784037.965  300.485   0.018   0.026 2
8259- 14:41:00.00  5/21/2010   503740.961  6784037.962  300.486   0.018   0.026 2
8260- 14:41:30.00  5/21/2010   503740.957  6784037.960  300.486   0.018   0.026 2
8261- 14:42:00.00  5/21/2010   503740.952  6784037.955  300.486   0.017   0.026 2
8262- 14:42:30.00  5/21/2010   503740.947  6784037.954  300.482   0.017   0.026 2
8263- 14:43:00.00  5/21/2010   503740.943  6784037.952  300.484   0.017   0.026 2
8264- 14:43:30.00  5/21/2010   503740.943  6784037.948  300.482   0.017   0.026 2
8265- 14:44:00.00  5/21/2010   503740.937  6784037.950  300.484   0.017   0.026 2
8266- 14:44:30.00  5/21/2010   503740.935  6784037.943  300.480   0.016   0.026 2
8267- 14:45:00.00  5/21/2010   503740.932  6784037.944  300.485   0.016   0.026 2
8268- 14:45:30.00  5/21/2010   503740.931  6784037.940  300.474   0.016   0.026 2
8269- 14:46:00.00  5/21/2010   503740.927  6784037.938  300.475   0.016   0.026 2
8270- 14:46:30.00  5/21/2010   503740.927  6784037.933  300.479   0.016   0.026 2
8271- 14:47:00.00  5/21/2010   503740.917  6784037.933  300.471   0.016   0.026 2
8272- 14:47:30.00  5/21/2010   503740.915  6784037.931  300.476   0.016   0.026 2
8273- 14:48:00.00  5/21/2010   503740.912  6784037.928  300.470   0.016   0.026 2
8274- 14:48:30.00  5/21/2010   503740.915  6784037.922  300.477   0.016   0.026 2
8275- 14:49:00.00  5/21/2010   503740.909  6784037.922  300.471   0.016   0.026 2
8276- 14:49:30.00  5/21/2010   503740.905  6784037.921  300.474   0.016   0.026 2
8277- 14:50:00.00  5/21/2010   503740.904  6784037.918  300.476   0.016   0.026 2
8278- 14:50:30.00  5/21/2010   503740.900  6784037.916  300.478   0.016   0.026 2
8279- 14:51:00.00  5/21/2010   503740.897  6784037.915  300.480   0.016   0.026 2
8280- 14:51:30.00  5/21/2010   503740.894  6784037.911  300.484   0.016   0.026 2
8281- 14:52:00.00  5/21/2010   503740.891  6784037.911  300.488   0.016   0.026 2
8282- 14:52:30.00  5/21/2010   503740.890  6784037.908  300.486   0.016   0.027 2
8283- 14:53:00.00  5/21/2010   503740.883  6784037.905  300.482   0.016   0.027 2
8284- 14:53:30.00  5/21/2010   503740.881  6784037.906  300.481   0.016   0.027 2
8285- 14:54:00.00  5/21/2010   503740.880  6784037.902  300.486   0.016   0.027 2
8286- 14:54:30.00  5/21/2010   503740.876  6784037.895  300.484   0.016   0.027 2
8287- 14:55:00.00  5/21/2010   503740.872  6784037.895  300.483   0.016   0.027 2
8288- 14:55:30.00  5/21/2010   503740.872  6784037.895  300.485   0.016   0.027 2
8289- 14:56:00.00  5/21/2010   503740.869  6784037.890  300.487   0.016   0.027 2
8290- 14:56:30.00  5/21/2010   503740.866  6784037.891  300.483   0.016   0.027 2
8291- 14:57:00.00  5/21/2010   503740.864  6784037.891  300.488   0.016   0.027 2
8292- 14:57:30.00  5/21/2010   503740.861  6784037.886  300.493   0.016   0.027 2
8293- 14:58:00.00  5/21/2010   503740.858  6784037.886  300.501   0.016   0.027 2
8294- 14:58:30.00  5/21/2010   503740.856  6784037.885  300.491   0.016   0.027 2
8295- 14:59:00.00  5/21/2010   503740.850  6784037.883  300.495   0.016   0.027 2
8296- 14:59:30.00  5/21/2010   503740.851  6784037.878  300.489   0.016   0.027 2
8297- 15:00:00.00  5/21/2010   503740.847  6784037.876  300.486   0.016   0.027 2
8298- 15:00:30.00  5/21/2010   503740.845  6784037.874  300.492   0.016   0.028 2
8299- 15:01:00.00  5/21/2010   503740.841  6784037.875  300.481   0.016   0.028 2
8300- 15:01:30.00  5/21/2010   503740.837  6784037.872  300.489   0.016   0.028 2
8301- 15:02:00.00  5/21/2010   503740.839  6784037.866  300.493   0.015   0.027 2
8302- 15:02:30.00  5/21/2010   503740.833  6784037.864  300.494   0.015   0.027 2
8303- 15:03:00.00  5/21/2010   503740.828  6784037.862  300.497   0.015   0.028 2
8304- 15:03:30.00  5/21/2010   503740.826  6784037.864  300.498   0.015   0.028 2
8305- 15:04:00.00  5/21/2010   503740.825  6784037.861  300.491   0.015   0.028 2
8306- 15:04:30.00  5/21/2010   503740.821  6784037.856  300.494   0.015   0.028 2
8307- 15:05:00.00  5/21/2010   503740.817  6784037.858  300.485   0.015   0.028 2
8308- 15:05:30.00  5/21/2010   503740.816  6784037.854  300.489   0.015   0.028 2
8309- 15:06:00.00  5/21/2010   503740.812  6784037.851  300.490   0.015   0.028 2
8310- 15:06:30.00  5/21/2010   503740.810  6784037.847  300.485   0.015   0.028 2
8311- 15:07:00.00  5/21/2010   503740.804  6784037.845  300.486   0.015   0.028 2
8312- 15:07:30.00  5/21/2010   503740.803  6784037.840  300.481   0.015   0.028 2
8313- 15:08:00.00  5/21/2010   503740.797  6784037.838  300.485   0.015   0.028 2
8314- 15:08:30.00  5/21/2010   503740.796  6784037.835  300.483   0.015   0.028 2
8315- 15:09:00.00  5/21/2010   503740.790  6784037.835  300.484   0.015   0.028 2
8316- 15:09:30.00  5/21/2010   503740.785  6784037.832  300.477   0.015   0.028 2
8317- 15:10:00.00  5/21/2010   503740.785  6784037.827  300.478   0.015   0.028 2
8318- 15:10:30.00  5/21/2010   503740.783  6784037.822  300.477   0.015   0.028 2
8319- 15:11:00.00  5/21/2010   503740.780  6784037.821  300.474   0.015   0.028 2
8320- 15:11:30.00  5/21/2010   503740.777  6784037.819  300.466   0.015   0.029 2
8321- 15:12:00.00  5/21/2010   503740.773  6784037.820  300.458   0.015   0.029 2
8322- 15:12:30.00  5/21/2010   503740.766  6784037.814  300.461   0.015   0.029 2
8323- 15:13:00.00  5/21/2010   503740.763  6784037.811  300.462   0.015   0.029 2
8324- 15:13:30.00  5/21/2010   503740.761  6784037.809  300.452   0.015   0.029 2
8325- 15:14:00.00  5/21/2010   503740.764  6784037.806  300.460   0.015   0.029 2
8326- 15:14:30.00  5/21/2010   503740.760  6784037.802  300.458   0.015   0.029 2
8327- 15:15:00.00  5/21/2010   503740.756  6784037.802  300.455   0.015   0.030 2
8328- 15:15:30.00  5/21/2010   503740.754  6784037.798  300.456   0.015   0.030 2
8329- 15:16:00.00  5/21/2010   503740.750  6784037.797  300.454   0.015   0.030 2
8330- 15:16:30.00  5/21/2010   503740.744  6784037.796  300.461   0.015   0.030 2
8331- 15:17:00.00  5/21/2010   503740.741  6784037.791  300.453   0.015   0.030 2
8332- 15:17:30.00  5/21/2010   503740.741  6784037.786  300.453   0.015   0.030 2
8333- 15:18:00.00  5/21/2010   503740.738  6784037.784  300.457   0.015   0.030 2
8334- 15:18:30.00  5/21/2010   503740.733  6784037.784  300.454   0.015   0.030 2
8335- 15:19:00.00  5/21/2010   503740.731  6784037.783  300.455   0.015   0.030 2
8336- 15:19:30.00  5/21/2010   503740.728  6784037.781  300.453   0.015   0.030 2
8337- 15:20:00.00  5/21/2010   503740.724  6784037.778  300.455   0.015   0.030 2
8338- 15:20:30.00  5/21/2010   503740.725  6784037.777  300.460   0.015   0.030 2
8339- 15:21:00.00  5/21/2010   503740.723  6784037.774  300.464   0.015   0.030 2
8340- 15:21:30.00  5/21/2010   503740.719  6784037.771  300.458   0.015   0.030 2
8341- 15:22:00.00  5/21/2010   503740.718  6784037.771  300.458   0.015   0.030 2
8342- 15:22:30.00  5/21/2010   503740.715  6784037.772  300.466   0.015   0.030 2
8343- 15:23:00.00  5/21/2010   503740.713  6784037.769  300.460   0.015   0.031 2
8344- 15:23:30.00  5/21/2010   503740.710  6784037.766  300.456   0.015   0.031 2
8345- 15:24:00.00  5/21/2010   503740.708  6784037.765  300.458   0.015   0.031 2
8346- 15:24:30.00  5/21/2010   503740.705  6784037.764  300.463   0.015   0.031 2
8347- 15:25:00.00  5/21/2010   503740.703  6784037.763  300.465   0.015   0.031 2
8348- 15:25:30.00  5/21/2010   503740.701  6784037.758  300.468   0.015   0.031 2
8349- 15:26:00.00  5/21/2010   503740.699  6784037.757  300.463   0.015   0.031 2
8350- 15:26:30.00  5/21/2010   503740.697  6784037.753  300.457   0.016   0.031 2
8351- 15:27:00.00  5/21/2010   503740.698  6784037.749  300.455   0.016   0.031 2
8352- 15:27:30.00  5/21/2010   503740.697  6784037.744  300.447   0.016   0.032 2
8353- 15:28:00.00  5/21/2010   503740.686  6784037.747  300.474   0.016   0.033 2
8354- 15:28:30.00  5/21/2010   503740.687  6784037.742  300.471   0.016   0.033 2
8355- 15:29:00.00  5/21/2010   503740.683  6784037.741  300.471   0.016   0.033 2
8356- 15:29:30.00  5/21/2010   503740.680  6784037.739  300.465   0.016   0.034 2
8357- 15:30:00.00  5/21/2010   503740.679  6784037.735  300.472   0.016   0.034 2
8358- 15:30:30.00  5/21/2010   503740.676  6784037.730  300.467   0.016   0.034 2
8359- 15:31:00.00  5/21/2010   503740.672  6784037.731  300.474   0.016   0.034 2
8360- 15:31:30.00  5/21/2010   503740.670  6784037.727  300.472   0.016   0.034 2
8361- 15:32:00.00  5/21/2010   503740.666  6784037.723  300.472   0.016   0.034 2
8362- 15:32:30.00  5/21/2010   503740.663  6784037.719  300.470   0.016   0.034 2
8363- 15:33:00.00  5/21/2010   503740.661  6784037.720  300.475   0.016   0.034 2
8364- 15:33:30.00  5/21/2010   503740.659  6784037.716  300.464   0.016   0.034 2
8365- 15:34:00.00  5/21/2010   503740.655  6784037.714  300.468   0.016   0.034 2
8366- 15:34:30.00  5/21/2010   503740.650  6784037.713  300.466   0.016   0.034 2
8367- 15:35:00.00  5/21/2010   503740.648  6784037.711  300.473   0.016   0.035 2
8368- 15:35:30.00  5/21/2010   503740.645  6784037.711  300.479   0.016   0.035 2
8369- 15:36:00.00  5/21/2010   503740.640  6784037.708  300.469   0.016   0.035 2
8370- 15:36:30.00  5/21/2010   503740.636  6784037.706  300.477   0.016   0.035 2
8371- 15:37:00.00  5/21/2010   503740.634  6784037.704  300.474   0.016   0.035 2
8372- 15:37:30.00  5/21/2010   503740.630  6784037.706  300.474   0.017   0.035 2
8373- 15:38:00.00  5/21/2010   503740.626  6784037.702  300.475   0.017   0.035 2
8374- 15:38:30.00  5/21/2010   503740.621  6784037.703  300.484   0.017   0.035 2
8375- 15:39:00.00  5/21/2010   503740.619  6784037.700  300.493   0.017   0.035 2
8376- 15:39:30.00  5/21/2010   503740.618  6784037.697  300.493   0.017   0.035 2
8377- 15:40:00.00  5/21/2010   503740.613  6784037.696  300.496   0.017   0.035 2
8378- 15:40:30.00  5/21/2010   503740.609  6784037.695  300.496   0.017   0.035 2
8379- 15:41:00.00  5/21/2010   503740.608  6784037.694  300.503   0.017   0.035 2
8380- 15:41:30.00  5/21/2010   503740.605  6784037.691  300.499   0.017   0.035 2
8381- 15:42:00.00  5/21/2010   503740.602  6784037.688  300.500   0.017   0.035 2
8382- 15:42:30.00  5/21/2010   503740.598  6784037.689  300.495   0.017   0.036 2
8383- 15:43:00.00  5/21/2010   503740.595  6784037.686  300.496   0.017   0.036 2
8384- 15:43:30.00  5/21/2010   503740.595  6784037.682  300.491   0.017   0.036 2
8385- 15:44:00.00  5/21/2010   503740.592  6784037.680  300.495   0.017   0.036 2
8386- 15:44:30.00  5/21/2010   503740.589  6784037.676  300.496   0.017   0.036 2
8387- 15:45:00.00  5/21/2010   503740.587  6784037.677  300.484   0.017   0.036 2
8388- 15:45:30.00  5/21/2010   503740.581  6784037.675  300.507   0.018   0.040 2
8389- 15:46:00.00  5/21/2010   503740.579  6784037.673  300.507   0.018   0.040 2
8390- 15:46:30.00  5/21/2010   503740.577  6784037.671  300.511   0.018   0.040 2
8391- 15:47:00.00  5/21/2010   503740.572  6784037.671  300.509   0.018   0.040 2
8392- 15:47:30.00  5/21/2010   503740.569  6784037.668  300.514   0.018   0.040 2
8393- 15:48:00.00  5/21/2010   503740.564  6784037.665  300.512   0.018   0.040 2
8394- 15:48:30.00  5/21/2010   503740.566  6784037.662  300.511   0.018   0.041 2
8395- 15:49:00.00  5/21/2010   503740.557  6784037.660  300.523   0.019   0.044 2
8396- 15:49:30.00  5/21/2010   503740.555  6784037.657  300.526   0.019   0.044 2
8397- 15:50:00.00  5/21/2010   503740.550  6784037.655  300.517   0.019   0.044 2
8398- 15:50:30.00  5/21/2010   503740.550  6784037.649  300.517   0.019   0.043 2
8399- 15:51:00.00  5/21/2010   503740.548  6784037.647  300.508   0.019   0.043 2
8400- 15:51:30.00  5/21/2010   503740.546  6784037.646  300.507   0.019   0.043 2
8401- 15:52:00.00  5/21/2010   503740.543  6784037.645  300.516   0.019   0.043 2
8402- 15:52:30.00  5/21/2010   503740.540  6784037.639  300.502   0.019   0.043 2
8403- 15:53:00.00  5/21/2010   503740.537  6784037.640  300.515   0.019   0.042 2
8404- 15:53:30.00  5/21/2010   503740.535  6784037.637  300.516   0.019   0.042 2
8405- 15:54:00.00  5/21/2010   503740.532  6784037.634  300.515   0.019   0.042 2
8406- 15:54:30.00  5/21/2010   503740.532  6784037.631  300.512   0.019   0.042 2
8407- 15:55:00.00  5/21/2010   503740.528  6784037.631  300.504   0.019   0.042 2
8408- 15:55:30.00  5/21/2010   503740.522  6784037.628  300.514   0.019   0.042 2
8409- 15:56:00.00  5/21/2010   503740.519  6784037.630  300.528   0.019   0.042 2
8410- 15:56:30.00  5/21/2010   503740.518  6784037.628  300.522   0.019   0.042 2
8411- 15:57:00.00  5/21/2010   503740.517  6784037.628  300.512   0.019   0.042 2
8412- 15:57:30.00  5/21/2010   503740.512  6784037.627  300.513   0.019   0.042 2
8413- 15:58:00.00  5/21/2010   503740.511  6784037.627  300.512   0.019   0.042 2
8414- 15:58:30.00  5/21/2010   503740.512  6784037.625  300.514   0.020   0.044 2
8415- 15:59:00.00  5/21/2010   503740.498  6784037.622  300.540   0.023   0.055 2
8416- 15:59:30.00  5/21/2010   503740.497  6784037.625  300.540   0.023   0.054 2
8417- 16:00:00.00  5/21/2010   503740.493  6784037.625  300.531   0.023   0.054 2
8418- 16:00:30.00  5/21/2010   503740.490  6784037.623  300.535   0.023   0.053 2
8419- 16:01:00.00  5/21/2010   503740.490  6784037.618  300.527   0.023   0.052 2
8420- 16:01:30.00  5/21/2010   503740.487  6784037.616  300.523   0.023   0.051 2
8421- 16:02:00.00  5/21/2010   503740.485  6784037.611  300.524   0.023   0.050 2
8422- 16:02:30.00  5/21/2010   503740.482  6784037.612  300.527   0.023   0.050 2
8423- 16:03:00.00  5/21/2010   503740.479  6784037.607  300.531   0.023   0.050 2
8424- 16:03:30.00  5/21/2010   503740.478  6784037.605  300.538   0.022   0.049 2
8425- 16:04:00.00  5/21/2010   503740.476  6784037.603  300.543   0.022   0.048 2
8426- 16:04:30.00  5/21/2010   503740.471  6784037.598  300.536   0.022   0.048 2
8427- 16:05:00.00  5/21/2010   503740.471  6784037.598  300.531   0.022   0.047 2
8428- 16:05:30.00  5/21/2010   503740.467  6784037.594  300.545   0.022   0.046 2
8429- 16:06:00.00  5/21/2010   503740.463  6784037.592  300.532   0.022   0.045 2
8430- 16:06:30.00  5/21/2010   503740.461  6784037.592  300.526   0.022   0.045 2
8431- 16:07:00.00  5/21/2010   503740.458  6784037.589  300.522   0.022   0.044 2
8432- 16:07:30.00  5/21/2010   503740.456  6784037.587  300.526   0.022   0.044 2
8433- 16:08:00.00  5/21/2010   503740.454  6784037.583  300.529   0.022   0.043 2
8434- 16:08:30.00  5/21/2010   503740.452  6784037.581  300.535   0.021   0.042 2
8435- 16:09:00.00  5/21/2010   503740.450  6784037.580  300.522   0.021   0.042 2
8436- 16:09:30.00  5/21/2010   503740.445  6784037.573  300.523   0.021   0.041 2
8437- 16:10:00.00  5/21/2010   503740.443  6784037.570  300.522   0.021   0.041 2
8438- 16:10:30.00  5/21/2010   503740.442  6784037.568  300.522   0.021   0.040 2
8439- 16:11:00.00  5/21/2010   503740.438  6784037.562  300.526   0.021   0.040 2
8440- 16:11:30.00  5/21/2010   503740.437  6784037.562  300.518   0.021   0.040 2
8441- 16:12:00.00  5/21/2010   503740.432  6784037.557  300.516   0.021   0.039 2
8442- 16:12:30.00  5/21/2010   503740.428  6784037.556  300.519   0.021   0.039 2
8443- 16:13:00.00  5/21/2010   503740.427  6784037.551  300.521   0.021   0.038 2
8444- 16:13:30.00  5/21/2010   503740.423  6784037.547  300.514   0.021   0.038 2
8445- 16:14:00.00  5/21/2010   503740.417  6784037.542  300.511   0.021   0.036 2
8446- 16:14:30.00  5/21/2010   503740.415  6784037.538  300.512   0.021   0.035 2
8447- 16:15:00.00  5/21/2010   503740.416  6784037.538  300.497   0.021   0.035 2
8448- 16:15:30.00  5/21/2010   503740.410  6784037.530  300.503   0.021   0.035 2
8449- 16:16:00.00  5/21/2010   503740.408  6784037.529  300.509   0.021   0.034 2
8450- 16:16:30.00  5/21/2010   503740.404  6784037.530  300.503   0.021   0.033 2
8451- 16:17:00.00  5/21/2010   503740.402  6784037.524  300.501   0.021   0.033 2
8452- 16:17:30.00  5/21/2010   503740.401  6784037.518  300.504   0.021   0.033 2
8453- 16:18:00.00  5/21/2010   503740.396  6784037.516  300.511   0.021   0.033 2
8454- 16:18:30.00  5/21/2010   503740.395  6784037.516  300.501   0.021   0.033 2
8455- 16:19:00.00  5/21/2010   503740.389  6784037.513  300.506   0.021   0.033 2
8456- 16:19:30.00  5/21/2010   503740.386  6784037.509  300.511   0.021   0.033 2
8457- 16:20:00.00  5/21/2010   503740.379  6784037.508  300.511   0.021   0.032 2
8458- 16:20:30.00  5/21/2010   503740.379  6784037.501  300.501   0.021   0.032 2
8459- 16:21:00.00  5/21/2010   503740.375  6784037.501  300.500   0.021   0.031 2
8460- 16:21:30.00  5/21/2010   503740.372  6784037.497  300.494   0.021   0.031 2
8461- 16:22:00.00  5/21/2010   503740.370  6784037.493  300.498   0.021   0.031 2
8462- 16:22:30.00  5/21/2010   503740.366  6784037.488  300.498   0.021   0.031 2
8463- 16:23:00.00  5/21/2010   503740.363  6784037.485  300.495   0.021   0.031 2
8464- 16:23:30.00  5/21/2010   503740.359  6784037.483  300.497   0.021   0.030 2
8465- 16:24:00.00  5/21/2010   503740.356  6784037.479  300.504   0.020   0.030 2
8466- 16:24:30.00  5/21/2010   503740.355  6784037.476  300.501   0.020   0.030 2
8467- 16:25:00.00  5/21/2010   503740.352  6784037.474  300.504   0.020   0.030 2
8468- 16:25:30.00  5/21/2010   503740.353  6784037.470  300.507   0.020   0.030 2
8469- 16:26:00.00  5/21/2010   503740.351  6784037.466  300.505   0.020   0.029 2
8470- 16:26:30.00  5/21/2010   503740.350  6784037.466  300.504   0.020   0.029 2
8471- 16:27:00.00  5/21/2010   503740.345  6784037.465  300.494   0.020   0.029 2
8472- 16:27:30.00  5/21/2010   503740.339  6784037.458  300.483   0.020   0.029 2
8473- 16:28:00.00  5/21/2010   503740.335  6784037.457  300.486   0.020   0.029 2
8474- 16:28:30.00  5/21/2010   503740.337  6784037.456  300.484   0.020   0.029 2
8475- 16:29:00.00  5/21/2010   503740.334  6784037.452  300.489   0.021   0.030 2
8476- 16:29:30.00  5/21/2010   503740.332  6784037.445  300.487   0.021   0.030 2
8477- 16:30:00.00  5/21/2010   503740.332  6784037.447  300.485   0.021   0.030 2
8478- 16:30:30.00  5/21/2010   503740.328  6784037.444  300.494   0.021   0.030 2
8479- 16:31:00.00  5/21/2010   503740.323  6784037.444  300.495   0.021   0.030 2
8480- 16:31:30.00  5/21/2010   503740.322  6784037.446  300.499   0.021   0.030 2
8481- 16:32:00.00  5/21/2010   503740.320  6784037.445  300.492   0.021   0.029 2
8482- 16:32:30.00  5/21/2010   503740.319  6784037.440  300.504   0.021   0.029 2
8483- 16:33:00.00  5/21/2010   503740.316  6784037.440  300.497   0.021   0.029 2
8484- 16:33:30.00  5/21/2010   503740.315  6784037.435  300.505   0.021   0.029 2
8485- 16:34:00.00  5/21/2010   503740.311  6784037.433  300.507   0.021   0.029 2
8486- 16:34:30.00  5/21/2010   503740.308  6784037.434  300.505   0.021   0.029 2
8487- 16:35:00.00  5/21/2010   503740.304  6784037.432  300.500   0.021   0.029 2
8488- 16:35:30.00  5/21/2010   503740.303  6784037.427  300.497   0.021   0.029 2
8489- 16:36:00.00  5/21/2010   503740.298  6784037.427  300.496   0.021   0.029 2
8490- 16:36:30.00  5/21/2010   503740.297  6784037.421  300.500   0.021   0.029 2
8491- 16:37:00.00  5/21/2010   503740.292  6784037.426  300.491   0.021   0.029 2
8492- 16:37:30.00  5/21/2010   503740.288  6784037.421  300.488   0.021   0.029 2
8493- 16:38:00.00  5/21/2010   503740.285  6784037.423  300.483   0.022   0.030 2
8494- 16:38:30.00  5/21/2010   503740.281  6784037.421  300.484   0.023   0.030 2
8495- 16:39:00.00  5/21/2010   503740.274  6784037.417  300.483   0.022   0.030 2
8496- 16:39:30.00  5/21/2010   503740.271  6784037.421  300.473   0.022   0.030 2
8497- 16:40:00.00  5/21/2010   503740.271  6784037.412  300.477   0.023   0.030 2
8498- 16:40:30.00  5/21/2010   503740.267  6784037.410  300.478   0.022   0.030 2
8499- 16:41:00.00  5/21/2010   503740.265  6784037.409  300.480   0.022   0.030 2
8500- 16:41:30.00  5/21/2010   503740.264  6784037.402  300.480   0.023   0.030 2
8501- 16:42:00.00  5/21/2010   503740.257  6784037.394  300.482   0.024   0.034 2
8502- 16:42:30.00  5/21/2010   503740.257  6784037.389  300.478   0.023   0.032 2
8503- 16:43:00.00  5/21/2010   503740.255  6784037.388  300.470   0.023   0.031 2
8504- 16:43:30.00  5/21/2010   503740.252  6784037.384  300.469   0.023   0.031 2
8505- 16:44:00.00  5/21/2010   503740.251  6784037.380  300.466   0.023   0.031 2
8506- 16:44:30.00  5/21/2010   503740.246  6784037.379  300.462   0.023   0.031 2
8507- 16:45:00.00  5/21/2010   503740.246  6784037.374  300.464   0.023   0.031 2
8508- 16:45:30.00  5/21/2010   503740.244  6784037.370  300.464   0.023   0.031 2
8509- 16:46:00.00  5/21/2010   503740.238  6784037.365  300.466   0.023   0.031 2
8510- 16:46:30.00  5/21/2010   503740.236  6784037.365  300.463   0.023   0.031 2
8511- 16:47:00.00  5/21/2010   503740.233  6784037.364  300.469   0.023   0.031 2
8512- 16:47:30.00  5/21/2010   503740.231  6784037.359  300.472   0.024   0.031 2
8513- 16:48:00.00  5/21/2010   503740.229  6784037.359  300.460   0.024   0.031 2
8514- 16:48:30.00  5/21/2010   503740.226  6784037.359  300.468   0.024   0.031 2
8515- 16:49:00.00  5/21/2010   503740.225  6784037.354  300.460   0.024   0.031 2
8516- 16:49:30.00  5/21/2010   503740.222  6784037.349  300.472   0.024   0.031 2
8517- 16:50:00.00  5/21/2010   503740.220  6784037.343  300.467   0.024   0.031 2
8518- 16:50:30.00  5/21/2010   503740.215  6784037.342  300.469   0.024   0.031 2
8519- 16:51:00.00  5/21/2010   503740.212  6784037.341  300.463   0.024   0.031 2
8520- 16:51:30.00  5/21/2010   503740.209  6784037.341  300.467   0.024   0.031 2
8521- 16:52:00.00  5/21/2010   503740.206  6784037.340  300.460   0.024   0.031 2
8522- 16:52:30.00  5/21/2010   503740.203  6784037.338  300.467   0.024   0.031 2
8523- 16:53:00.00  5/21/2010   503740.200  6784037.333  300.461   0.024   0.032 2
8524- 16:53:30.00  5/21/2010   503740.197  6784037.335  300.464   0.024   0.032 2
8525- 16:54:00.00  5/21/2010   503740.194  6784037.333  300.459   0.024   0.032 2
8526- 16:54:30.00  5/21/2010   503740.191  6784037.331  300.463   0.024   0.032 2
8527- 16:55:00.00  5/21/2010   503740.188  6784037.328  300.458   0.024   0.032 2
8528- 16:55:30.00  5/21/2010   503740.188  6784037.326  300.452   0.024   0.032 2
8529- 16:56:00.00  5/21/2010   503740.186  6784037.321  300.458   0.024   0.032 2
8530- 16:56:30.00  5/21/2010   503740.181  6784037.320  300.462   0.024   0.033 2
8531- 16:57:00.00  5/21/2010   503740.179  6784037.320  300.462   0.025   0.033 2
8532- 16:57:30.00  5/21/2010   503740.177  6784037.320  300.459   0.025   0.033 2
8533- 16:58:00.00  5/21/2010   503740.176  6784037.322  300.454   0.025   0.033 2
8534- 16:58:30.00  5/21/2010   503740.170  6784037.325  300.454   0.025   0.033 2
8535- 16:59:00.00  5/21/2010   503740.168  6784037.323  300.451   0.025   0.034 2
8536- 16:59:30.00  5/21/2010   503740.165  6784037.323  300.457   0.025   0.034 2
8537- 17:00:00.00  5/21/2010   503740.164  6784037.319  300.453   0.026   0.035 2
