
Project:     S1R2 a-d
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 18:28:46

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
200-K 19:15:30.00  5/18/2010   504669.689  6785022.312  339.463   0.026   0.029 2
201-K 19:16:00.00  5/18/2010   504669.688  6785022.307  339.463   0.026   0.029 2
202-K 19:16:30.00  5/18/2010   504669.690  6785022.304  339.459   0.026   0.029 2
203-K 19:17:00.00  5/18/2010   504669.686  6785022.302  339.459   0.026   0.029 2
204-K 19:17:30.00  5/18/2010   504669.688  6785022.297  339.455   0.025   0.029 2
205-K 19:18:00.00  5/18/2010   504669.685  6785022.297  339.466   0.025   0.029 2
206-K 19:18:30.00  5/18/2010   504669.682  6785022.292  339.456   0.025   0.029 2
207-K 19:19:00.00  5/18/2010   504669.679  6785022.290  339.456   0.026   0.030 3
208-K 19:19:30.00  5/18/2010   504669.676  6785022.290  339.455   0.025   0.028 2
209-K 19:20:00.00  5/18/2010   504669.674  6785022.285  339.450   0.025   0.029 2
210-K 19:20:30.00  5/18/2010   504669.671  6785022.282  339.457   0.025   0.029 2
211-K 19:21:00.00  5/18/2010   504669.668  6785022.283  339.461   0.025   0.029 2
212-K 19:21:30.00  5/18/2010   504669.666  6785022.276  339.450   0.025   0.029 2
213-K 19:22:00.00  5/18/2010   504669.662  6785022.277  339.457   0.025   0.029 2
214-K 19:22:30.00  5/18/2010   504669.662  6785022.272  339.443   0.024   0.029 2
215-K 19:23:00.00  5/18/2010   504669.658  6785022.275  339.452   0.024   0.029 2
216-K 19:23:30.00  5/18/2010   504669.653  6785022.275  339.452   0.024   0.029 2
217-K 19:24:00.00  5/18/2010   504669.651  6785022.270  339.453   0.024   0.029 2
218-K 19:24:30.00  5/18/2010   504669.651  6785022.269  339.455   0.024   0.029 2
219-K 19:25:00.00  5/18/2010   504669.648  6785022.267  339.456   0.024   0.029 2
220-K 19:25:30.00  5/18/2010   504669.645  6785022.268  339.457   0.024   0.029 2
221-K 19:26:00.00  5/18/2010   504669.642  6785022.266  339.462   0.024   0.029 2
222-K 19:26:30.00  5/18/2010   504669.644  6785022.259  339.451   0.024   0.029 2
223-K 19:27:00.00  5/18/2010   504669.640  6785022.261  339.466   0.024   0.029 2
224-K 19:27:30.00  5/18/2010   504669.637  6785022.260  339.465   0.024   0.029 2
225-K 19:28:00.00  5/18/2010   504669.638  6785022.253  339.458   0.024   0.029 2
226-K 19:28:30.00  5/18/2010   504669.635  6785022.254  339.470   0.024   0.029 2
227-K 19:29:00.00  5/18/2010   504669.635  6785022.248  339.459   0.024   0.029 2
228-K 19:29:30.00  5/18/2010   504669.632  6785022.241  339.453   0.023   0.029 2
229-K 19:30:00.00  5/18/2010   504669.632  6785022.239  339.454   0.023   0.029 2
230-K 19:30:30.00  5/18/2010   504669.629  6785022.237  339.453   0.023   0.029 2
231-K 19:31:00.00  5/18/2010   504669.627  6785022.233  339.455   0.023   0.029 2
232-K 19:31:30.00  5/18/2010   504669.627  6785022.228  339.447   0.023   0.029 2
233-K 19:32:00.00  5/18/2010   504669.626  6785022.226  339.444   0.023   0.029 2
234-K 19:32:30.00  5/18/2010   504669.621  6785022.226  339.452   0.023   0.029 2
235-K 19:33:00.00  5/18/2010   504669.619  6785022.218  339.447   0.023   0.029 2
236-K 19:33:30.00  5/18/2010   504669.619  6785022.215  339.440   0.023   0.029 2
237-K 19:34:00.00  5/18/2010   504669.615  6785022.218  339.446   0.023   0.029 2
238-K 19:34:30.00  5/18/2010   504669.615  6785022.214  339.448   0.023   0.029 2
239-K 19:35:00.00  5/18/2010   504669.612  6785022.209  339.449   0.023   0.030 2
240-K 19:35:30.00  5/18/2010   504669.611  6785022.209  339.451   0.023   0.030 2
241-K 19:36:00.00  5/18/2010   504669.606  6785022.207  339.457   0.023   0.030 2
242-K 19:36:30.00  5/18/2010   504669.605  6785022.203  339.455   0.023   0.030 2
243-K 19:37:00.00  5/18/2010   504669.602  6785022.204  339.458   0.023   0.030 2
244-K 19:37:30.00  5/18/2010   504669.599  6785022.201  339.452   0.023   0.030 2
245-K 19:38:00.00  5/18/2010   504669.598  6785022.199  339.456   0.023   0.030 2
246-K 19:38:30.00  5/18/2010   504669.597  6785022.196  339.448   0.023   0.031 2
247-K 19:39:00.00  5/18/2010   504669.595  6785022.193  339.449   0.023   0.031 2
248-K 19:39:30.00  5/18/2010   504669.591  6785022.193  339.455   0.023   0.031 2
249-K 19:40:00.00  5/18/2010   504669.593  6785022.191  339.446   0.023   0.032 2
250-K 19:40:30.00  5/18/2010   504669.589  6785022.189  339.454   0.024   0.035 2
251-K 19:41:00.00  5/18/2010   504669.585  6785022.191  339.451   0.025   0.037 2
252-K 19:41:30.00  5/18/2010   504669.589  6785022.178  339.448   0.026   0.044 2
253-K 19:42:00.00  5/18/2010   504669.586  6785022.176  339.454   0.026   0.044 2
254-K 19:42:30.00  5/18/2010   504669.587  6785022.172  339.441   0.026   0.044 2
255-K 19:43:00.00  5/18/2010   504669.584  6785022.172  339.448   0.026   0.044 2
256-K 19:43:30.00  5/18/2010   504669.580  6785022.170  339.451   0.026   0.044 2
257-K 19:44:00.00  5/18/2010   504669.576  6785022.168  339.449   0.026   0.045 2
258-K 19:44:30.00  5/18/2010   504669.576  6785022.163  339.442   0.026   0.045 2
259-K 19:45:00.00  5/18/2010   504669.574  6785022.159  339.440   0.025   0.045 2
260-K 19:45:30.00  5/18/2010   504669.572  6785022.155  339.434   0.025   0.045 2
261-K 19:46:00.00  5/18/2010   504669.568  6785022.155  339.436   0.025   0.045 2
262-K 19:46:30.00  5/18/2010   504669.567  6785022.151  339.427   0.025   0.045 2
263-K 19:47:00.00  5/18/2010   504669.565  6785022.148  339.441   0.025   0.045 2
264-K 19:47:30.00  5/18/2010   504669.562  6785022.145  339.435   0.025   0.045 2
265-K 19:48:00.00  5/18/2010   504669.559  6785022.146  339.439   0.025   0.046 2
266-K 19:48:30.00  5/18/2010   504669.556  6785022.144  339.443   0.025   0.046 2
267-K 19:49:00.00  5/18/2010   504669.556  6785022.136  339.438   0.025   0.046 2
268-K 19:49:30.00  5/18/2010   504669.553  6785022.137  339.438   0.025   0.046 2
269-K 19:50:00.00  5/18/2010   504669.549  6785022.136  339.441   0.025   0.046 2
270-K 19:50:30.00  5/18/2010   504669.547  6785022.134  339.445   0.025   0.046 2
271-K 19:51:00.00  5/18/2010   504669.542  6785022.131  339.448   0.025   0.046 2
272-K 19:51:30.00  5/18/2010   504669.542  6785022.126  339.447   0.025   0.046 2
273-K 19:52:00.00  5/18/2010   504669.539  6785022.123  339.439   0.025   0.046 2
274-K 19:52:30.00  5/18/2010   504669.538  6785022.120  339.447   0.025   0.047 2
275-K 19:53:00.00  5/18/2010   504669.536  6785022.116  339.453   0.025   0.047 2
276-K 19:53:30.00  5/18/2010   504669.534  6785022.115  339.450   0.025   0.047 2
277-K 19:54:00.00  5/18/2010   504669.532  6785022.112  339.441   0.025   0.047 2
278-K 19:54:30.00  5/18/2010   504669.530  6785022.107  339.436   0.025   0.047 2
279-K 19:55:00.00  5/18/2010   504669.529  6785022.106  339.447   0.025   0.047 2
280-K 19:55:30.00  5/18/2010   504669.528  6785022.106  339.445   0.025   0.047 2
281-K 19:56:00.00  5/18/2010   504669.525  6785022.100  339.442   0.025   0.047 2
282-K 19:56:30.00  5/18/2010   504669.521  6785022.100  339.451   0.025   0.047 2
283-K 19:57:00.00  5/18/2010   504669.518  6785022.096  339.444   0.025   0.047 2
284-K 19:57:30.00  5/18/2010   504669.515  6785022.092  339.445   0.025   0.047 2
285-K 19:58:00.00  5/18/2010   504669.512  6785022.092  339.450   0.025   0.047 2
286-K 19:58:30.00  5/18/2010   504669.510  6785022.092  339.454   0.025   0.047 2
