Output order: Pnt Id						 Hz	 V	 Sd	 East	 North	 Elev	 Sig.Strength





444	166.6368056	6	15	15	17	110.99583	267.40583	1056.887	4014.289	5378.299	953.863
CGR1	166.6458333	6	15	15	30	359.99028	87.23778	131.87	4999.978	5131.717	1007.976
111	166.6458333	6	15	15	30	279.02083	92.59583	1252.17	3764.576	5196.134	945.017
333	166.6465278	6	15	15	31	279.0225	92.59611	1252.17	3764.582	5196.169	945.01
444	166.6465278	6	15	15	31	290.98556	92.59556	1056.86	4014.248	5378.113	953.833
CGR1	166.6465278	6	15	15	31	179.99306	272.76611	131.87	4999.984	5131.716	1007.985
111	166.6472222	6	15	15	32	99.02306	267.4075	1252.168	3764.582	5196.178	945.086
444	166.6472222	6	15	15	32	110.98861	267.40667	1056.861	4014.264	5378.165	953.876
CGR1	166.6513889	6	15	15	38	359.99222	87.23639	131.87	4999.982	5131.717	1007.979
111	166.6520833	6	15	15	39	279.01833	92.59361	1252.153	3764.582	5196.076	945.068
333	166.6520833	6	15	15	39	279.01694	92.59417	1252.152	3764.579	5196.046	945.052
CGR1	166.6527778	6	15	15	40	179.99083	272.76694	131.87	4999.979	5131.716	1007.987
111	166.6527778	6	15	15	40	99.01806	267.40694	1252.152	3764.582	5196.069	945.075
333	166.6527778	6	15	15	40	99.01806	267.40611	1252.151	3764.584	5196.069	945.057
444	166.6534722	6	15	15	41	110.98167	267.41028	1056.845	4014.229	5378.038	953.942
CGR1	166.65625	6	15	15	45	359.98917	87.23694	131.87	4999.975	5131.717	1007.978
111	166.65625	6	15	15	45	279.01278	92.5975	1252.139	3764.581	5195.953	944.98
333	166.6569444	6	15	15	46	279.01194	92.59861	1252.138	3764.58	5195.938	944.958
444	166.6569444	6	15	15	46	290.97528	92.59806	1056.833	4014.206	5377.924	953.79
CGR1	166.6576389	6	15	15	47	179.99083	272.7675	131.87	4999.979	5131.716	1007.988
111	166.6576389	6	15	15	47	99.01333	267.40806	1252.136	3764.581	5195.969	945.1
333	166.6576389	6	15	15	47	99.01528	267.40833	1252.133	3764.589	5196.007	945.106
CGR1	166.6666667	6	15	16	0	359.99167	87.23972	131.87	4999.981	5131.717	1007.972
111	166.6666667	6	15	16	0	279.00556	92.60306	1252.108	3764.593	5195.794	944.862
333	166.6673611	6	15	16	1	279.00472	92.60056	1252.105	3764.59	5195.776	944.915
CGR1	166.6673611	6	15	16	1	179.98972	272.77222	131.87	4999.976	5131.715	1007.999
111	166.6680556	6	15	16	2	99.00944	267.4075	1252.106	3764.598	5195.879	945.089
333	166.6680556	6	15	16	2	99.00806	267.40778	1252.102	3764.596	5195.848	945.097
444	166.66875	6	15	16	3	110.97139	267.40972	1056.804	4014.201	5377.849	953.937
CGR1	166.6770833	6	15	16	15	359.99	87.2375	131.87	4999.977	5131.716	1007.977
111	166.6770833	6	15	16	15	278.99944	92.60139	1252.075	3764.602	5195.656	944.898
333	166.6777778	6	15	16	16	278.99917	92.59889	1252.076	3764.598	5195.65	944.952
444	166.6777778	6	15	16	16	290.9625	92.6	1056.776	4014.176	5377.683	953.758
CGR1	166.6777778	6	15	16	16	179.99167	272.77056	131.87	4999.981	5131.716	1007.995
111	166.6784722	6	15	16	17	99.00083	267.40583	1252.073	3764.602	5195.686	945.056
333	166.6784722	6	15	16	17	99.00056	267.40806	1252.073	3764.599	5195.681	945.106
444	166.6784722	6	15	16	17	110.96556	267.4075	1056.776	4014.191	5377.738	953.896
CGR1	166.6875	6	15	16	30	359.99278	87.23694	131.87	4999.983	5131.716	1007.978
111	166.6875	6	15	16	30	278.99361	92.60083	1252.044	3764.613	5195.527	944.912
444	166.6881944	6	15	16	31	290.955	92.59806	1056.749	4014.15	5377.543	953.794
