235	9	16	9	10	259.3819444	R1	359	58	38	359.9772222	87	15	12	87.25333333	131.909m	4999.948m	5131.757m	1007.942m
237	9	16	9	11	259.3826389	555	109	36	17	109.6047222	267	24	47	267.4130556	1653.439m	3443.981m	5554.217m	927.177m
239	9	16	9	11	259.3826389	R1	179	58	46	179.9794444	272	45	30	272.7583333	131.909m	4999.953m	5131.756m	1007.969m
241					243	555	ERR_8710							0				
243	9	16	9	20	259.3888889	R1	359	58	28	359.9744444	87	15	8	87.25222222	131.908m	4999.941m	5131.757m	1007.945m
245					243	555	ERR_8704							0				
247	9	16	9	21	259.3895833	R1	179	58	48	179.98	272	45	35	272.7597222	131.908m	4999.954m	5131.755m	1007.972m
249	9	16	9	30	259.3958333	555	289	35	41	289.5947222	92	35	56	92.59888889	1653.415m	3443.922m	5553.934m	926.836m
251	9	16	9	30	259.3958333	R1	359	58	30	359.975	87	15	8	87.25222222	131.908m	4999.943m	5131.757m	1007.945m
253					243	555	ERR_8710							0				
255	9	16	9	31	259.3965278	R1	179	58	44	179.9788889	272	45	37	272.7602778	131.908m	4999.952m	5131.755m	1007.974m
257					243	555	ERR_8710							0				
259	9	16	9	40	259.4027778	R1	359	58	53	359.9813889	87	15	13	87.25361111	131.909m	4999.957m	5131.757m	1007.942m
261					243	555	ERR_8710							0				
263	9	16	9	41	259.4034722	R1	179	58	54	179.9816667	272	45	38	272.7605556	131.908m	4999.958m	5131.755m	1007.974m
265					243	555	ERR_8704							0				
267	9	16	9	50	259.4097222	R1	359	58	41	359.9780556	87	15	10	87.25277778	131.909m	4999.950m	5131.757m	1007.944m
269					243	555	ERR_8710							0				
271	9	16	9	51	259.4104167	R1	179	58	50	179.9805556	272	45	32	272.7588889	131.908m	4999.955m	5131.755m	1007.970m
273	9	16	10	0	259.4166667	555	289	35	20	289.5888889	92	35	59	92.59972222	1653.379m	3443.901m	5553.764m	926.811m
275	9	16	10	0	259.4166667	R1	359	58	45	359.9791667	87	15	11	87.25305556	131.909m	4999.952m	5131.757m	1007.943m
277	9	16	10	1	259.4173611	555	109	35	32	109.5922222	267	24	32	267.4088889	1653.380m	3443.921m	5553.854m	927.056m
279	9	16	10	1	259.4173611	R1	179	58	52	179.9811111	272	45	32	272.7588889	131.908m	4999.956m	5131.755m	1007.970m
281	9	16	10	10	259.4236111	555	289	35	19	289.5886111	92	36	4	92.60111111	1653.370m	3443.908m	5553.750m	926.769m
283	9	16	10	10	259.4236111	R1	359	58	35	359.9763889	87	15	13	87.25361111	131.909m	4999.945m	5131.757m	1007.941m
285	9	16	10	11	259.4243056	555	109	35	22	109.5894444	267	24	43	267.4119444	1653.369m	3443.901m	5553.780m	927.152m
287	9	16	10	11	259.4243056	R1	179	58	44	179.9788889	272	45	31	272.7586111	131.909m	4999.952m	5131.756m	1007.970m
289	9	16	10	20	259.4305556	555	289	35	17	289.5880556	92	35	59	92.59972222	1653.359m	3443.911m	5553.730m	926.808m
291	9	16	10	20	259.4305556	R1	359	58	37	359.9769444	87	15	3	87.25083333	131.909m	4999.947m	5131.757m	1007.948m
293					243	555	ERR_8710							0				
295	9	16	10	21	259.43125	R1	179	58	44	179.9788889	272	45	32	272.7588889	131.909m	4999.952m	5131.755m	1007.970m
297	9	16	10	30	259.4375	555	289	34	54	289.5816667	92	35	59	92.59972222	1653.341m	3443.867m	5553.555m	926.816m
299	9	16	10	30	259.4375	R1	359	58	40	359.9777778	87	15	8	87.25222222	131.909m	4999.949m	5131.757m	1007.945m
301	9	16	10	31	259.4381944	555	109	35	8	109.5855556	267	24	35	267.4097222	1653.345m	3443.890m	5553.669m	927.089m
303	9	16	10	31	259.4381944	R1	179	58	47	179.9797222	272	45	30	272.7583333	131.909m	4999.953m	5131.756m	1007.969m
305	9	16	10	40	259.4444444	555	289	34	42	289.5783333	92	35	59	92.59972222	1653.337m	3443.839m	5553.463m	926.812m
307	9	16	10	40	259.4444444	R1	359	58	32	359.9755556	87	15	10	87.25277778	131.909m	4999.944m	5131.757m	1007.944m
309	9	16	10	41	259.4451389	555	109	34	53	109.5813889	267	24	37	267.4102778	1653.334m	3443.857m	5553.545m	927.103m
311	9	16	10	41	259.4451389	R1	179	58	45	179.9791667	272	45	32	272.7588889	131.909m	4999.952m	5131.756m	1007.971m
313	9	16	10	50	259.4513889	555	289	34	37	289.5769444	92	36	5	92.60138889	1653.324m	3443.840m	5553.423m	926.768m
315	9	16	10	50	259.4513889	R1	359	58	39	359.9775	87	15	9	87.2525	131.909m	4999.948m	5131.757m	1007.944m
317					243	555	ERR_8704							0				
319	9	16	10	51	259.4520833	R1	179	58	47	179.9797222	272	45	34	272.7594444	131.908m	4999.953m	5131.755m	1007.971m
